Reported value,Measured quantity value (difference in measured RSRP from strongest RSRP),Unit
DIFF_SRS-RSRP_0,0≥ΔRSRP>-2,dB
DIFF_SRS-RSRP_1,-2≥ΔRSRP>-4,dB
DIFF_SRS-RSRP_2,-4≥ΔRSRP>-6,dB
DIFF_SRS-RSRP_3,-6≥ΔRSRP>-8,dB
DIFF_SRS-RSRP_4,-8≥ΔRSRP>-10,dB
DIFF_SRS-RSRP_5,-10≥ΔRSRP>-12,dB
DIFF_SRS-RSRP_6,-12≥ΔRSRP>-14,dB
DIFF_SRS-RSRP_7,-14≥ΔRSRP>-16,dB
DIFF_SRS-RSRP_8,-16≥ΔRSRP>-18,dB
DIFF_SRS-RSRP_9,-18≥ΔRSRP>-20,dB
DIFF_SRS-RSRP_10,-20≥ΔRSRP>-22,dB
DIFF_SRS-RSRP_11,-22≥ΔRSRP>-24,dB
DIFF_SRS-RSRP_12,-24≥ΔRSRP>-26,dB
DIFF_SRS-RSRP_13,-26≥ΔRSRP>-28,dB
DIFF_SRS-RSRP_14,-28≥ΔRSRP>-30,dB
DIFF_SRS-RSRP_15,-30≥ΔRSRP,dB
