,NR Slot length,SRS carrier,Interruption length X1 (slots),
,(ms) of victim cell,switching time (us)Note 1,Sub carrier spacing for aggressor cell (kHz),
,,,15,30
0,1,≤ 200,2,2
,,"300, 500",2,2
,,900,2,2
1,0.5,≤ 200,3,2
,,"300, 500",3,3
,,900,4,4
2,0.25,≤ 200,4,3
,,"300, 500",5,4
,,900,7,6
3,0.125,≤ 200,7,5
,,"300, 500",9,7
,,900,12,10
5,0.03125,≤ 200,22,15
,,"300, 500",31,24
,,900,44,37
6,0.015625,≤ 200,42,28
,,"300, 500",61,47
,,900,87,73
NOTE 1:NR SRS carrier switching time is UE capability indicated by higher layer parameter SRS-SwitchingTimeNR.,,,,
