Parameter,Unit,Value,,,,,,
Reference channel,,SR.1.1 FDD,SR.1.2 FDD,SR.1.3 FDD,,,,
Channel bandwidth,MHz,Defined in test case,"Defined in test case by the parameter r NRB,c","Defined in test case by the parameter r NRB,c",,,,
Number of transmitter antennas,,1,1,1,,,,
Allocated resource blocks for PDSCH Note 1,,24,15,12,,,,
Allocated slots per Radio Frame,,10,10,10,,,,
Radio frame containing SSB,slots,Note 5,Note 5,Note 5,,,,
Radio frame not containing SSB,slots,10,10,10,,,,
MCS index,,4,4,4,,,,
Modulation,,QPSK,QPSK,QPSK,,,,
Target Coding Rate,,1/3,1/3,1/3,,,,
Number of control symbols,,2,2,2,,,,
PDSCH mapping type,,Type A,Type A,Type A,,,,
Information Bit Payload,,,,,,,,
For slots with RMSI Note 2,bits,1608,984,736,,,,
For slots without RMSI,bits,1864,1128,888,,,,
Number of Code Blocks per slot,,1,1,1,,,,
Binary Channel Bits Per slot,,,,,,,,
"For slots with RMSI Note 2, Note 4",bits,5184,3240,2592,,,,
For slots without RMSI Note 6,bits,6048,3780,3024,,,,
"NOTE 1:Allocated outside the SMTC duration in time and in resource blocks which do not overlap with the resource blocks allocated for SS/PBCH block.NOTE 2:PDSCH is scheduled on the slots with RMSI.NOTE 3:If necessary the information bit payload size can be adjusted to facilitate the test implementation. The payload sizes are defined in TS 38.213 [3].NOTE 4:Derived based on the PDSCH DMRS assumption: dmrs-TypeA-Position=2, dmrs-Type=1, dmrs-AdditonalPositions=2, maxLength=1, Antenna port index: 1000, and Number of PDSCH DMRS CDM group(s) without data: 2.NOTE 5:PDSCH is not scheduled in slots containing SSB according to the SSB configuration used in the test. SSB configurations are defined in clause A.3.10.NOTE 6:Derived based on the PDSCH DMRS assumption: dmrs-TypeA-Position=2, dmrs-Type=1, dmrs-AdditonalPositions=2, maxLength=1, Antenna port index: 1000, and Number of PDSCH DMRS CDM group(s) without data: 1.NOTE 7: When DRX is configured, PDCCH can be scheduled both for downlink assignment and/or UL grant only during (10ms  -  drx-InactivityTimer) from timing when drx-onDurationTimer starts, unless otherwise specified in the test case.",,,,,,,,
