Parameter,,Unit,Config,Test1,Test2
SSB ARFCN,,,"1,2",Freq1,Freq1
TDD configuration,,,"1,2",TDDConf.1.1 CCA,
BWchannel,,MHz,"1,2","40: NPRB,c = 106",
Initial BWP Configuration,,,"1,2",DLBWP.0.1ULBWP.0.1,
Dedicated BWP Configuration,,,"1,2",DLBWP.1.1ULBWP.1.1,
DRX Cycle,,ms,"1,2",N/A,DRX.8Note5
DL CCA model,,,"1,2",As specified in clause A.3.26.2.1,
UL CCA model,,,"1,2",As specified in clause A.3.26.2.2,
PDSCH Reference,,,"1,2",SR.1.1 CCA,
CORESET Reference,,,"1,2",CR.1.1 CCA,
OCNG Patterns,,,"1,2",OCNG pattern 1,
SSB configuration,Semi- static channel acces,,"1,2",SSB.1 CCA,
,Dymamic channel acces,,"1,2",SSB.2 CCA,
SMTC configuration,,,"1,2",SMTC.1 FR1,
TRS configuration,,,"1,2",TRS.1.2 TDD,
DL CCA probability for semi-static channel access (PCCA_DL),,,"1,2",0.9375,0.9375
DL CCA model probability for dynamic static channel access (PCCA_DL_1),,,"1,2",0.75,0.75
DL CCA model probability for dynamic static channel access (PCCA_DL_2),,,"1,2",0.75,0.75
UL CCA probability (PCCA_UL),,,"1,2",1,1
EPRE ratio of PSS to SSS,,,,,
EPRE ratio of PBCH DMRS to SSS,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,dB,"1,2",0,0
EPRE ratio of PDSCH DMRS to SSS,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,
EPRE ratio of OCNG DMRS to SSS (Note 1),,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,
Note2,,dBm/30 kHz,"1,2",-95,-95
,,,"1,2",3,3
,,,"1,2",3,3
SS-RSRPNote3,,dBm/30 kHz,"1,2",-92,-92
IoNote3,,dBm/38.1 MHz,"1,2",-59.2,-59.2
Propagation condition,,,"1,2",AWGN,
SRS Config,,,"1,2",SRSConf.1Note6,SRSConf.2Note6
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:DRX related parameters are given in table A.3.3.8-1NOTE 6:SRS configs are given in table A.10.2.1.1.1-3.NOTE 7:Parameters PCCA_DL, PCCA_DL_1, PCCA_DL_2 and PCCA_UL are defined in clause A.3.26.2.NOTE 8:For UE supporting both semi-static and dynamic cannel access, the UE must be tested under both dynamic and semi-static channel occupancy configurations.",,,,,
