Parameter,,,Unit,Value,Comment
RF Channel Number,,,,"1, 2",Two radio channels are used for this test. One for E-UTRA cell and second for NR Cell on the carrier under CCA
Initial,Active PCell,,,Cell 1,PCell on RF channel number 1.
,Neighbour cell,,,Cell 2,Neighbour cell on RF channel number 2.
Final,Active PCell,,,Cell 1,PCell on RF channel number 1.
Condition,Neighbour Cell,,,Cell 2,PSCell released on RF channel number 2.
B1,Hysteresis,,dB,0,Hysteresis for evaluation of event B1.
,Threshold RSRP,,dBm,-93,Actual RSRP threshold for event B1. Needs to take absolute accuracy tolerance in clause 9.1.11.1 into account plus margin.
,Time to Trigger,,s,0,
DRX,,,,OFF,Continuous monitoring of primary cell
DL CCA model,,"Dynamic channel accessNote 1, 3",,,As specified in clause A.3.20.2.1
,,"Semi-static channel access Note 2, 3",,,
UL CCA model,,"Dynamic channel access Note 1, 3",,,As specified in clause A.3.20.2.2
,,"Semi-static channel access Note 2,3",,,
Measurement gap pattern Id,,,,0,Gaps are configured before T2 and released before T3.
PRACH configuration on Cell 2,,,,FR1 PRACH configuration 2,Captured in A.3.8.2.1
CQI/PMI periodicity and offset configuration index on Cell 2,,,,2 ms,CQI reporting for PSCell every uplink subframe
Cell-individual offset for cells on RF channel number 1,,,dB,0,Individual offset for cells on primary component carrier.
Cell-individual offset for cells on RF channel number 2,,,dB,0,Individual offset for cells on carrier frequency of Cell 2.
T304,,,ms,500,
LCCA_DL,,,,5,
T1,,,s,1,During this time the PCell shall be known and Cell 2 shall be unknown.
T2,,,s,≥ Tidentify_irat_cca_without_index,Tidentify_irat_cca_without_index is defined in clause 8.1.2.4.21A and 8.1.2.4.22A in TS 36.133During this time the UE shall identify neighbour cell (Cell 2) and report event B1.
T3,,,s,3,During this time the test system transmit the RRC messages to release measurement gap and add the PSCell
T4,,,s,≥ Tconfig_PSCell_withCCA,During this time the UE adds the PSCell. Tconfig_PSCell_withCCA  is defined in clause 7.31A.2
T5,,,s,0.5,During this time the UE sends CSI reports for PSCell.
T6,,,s,0.5,During this time the UE releases the PSCell.
"NOTE 1:For a UE supporting dynamic channel access and network configuring dynamic channel occupancy.   NOTE 2:For a UE supporting semi-static channel access and network configuring semi-static channel occupancy.NOTE 3:For a UE supporting both semi-static and dynamic channel access, the UE can be tested under            dynamic channel occupancy only.",,,,,
