Parameter,Unit,Configuration,Cell 1,,Cell 2,
,,,T1,T2,T1,T2
NR RF Channel Number,,"1, 2, 3",1,,2,
Duplex mode,,1,TDD,,FDD,
,,2,TDD,,TDD,
,,3,TDD,,TDD,
DL CCA model,,"1, 2, 3",As specified in clause A.3.26.2.1,,N/A,
UL CCA model,,"1, 2, 3",As specified in clause A.3.26.2.2,,,
TDD configuration,,1,TDDConf.1.1 CCA,,Not Applicable,
,,2,TDDConf.1.1 CCA,,TDDConf.1.1,
,,3,TDDConf.1.1 CCA,,TDDConf.2.1,
BWchannel,MHz,1,"40: NPRB,c = 106",,"10: NPRB,c = 52",
,,2,"40: NPRB,c = 106",,"10: NPRB,c = 52",
,,3,"40: NPRB,c = 106",,"40: NPRB,c = 106",
BWP BW,MHz,1,"40: NPRB,c = 106",,"10: NPRB,c = 52",
,,2,"40: NPRB,c = 106",,"10: NPRB,c = 52",
,,3,"40: NPRB,c = 106",,"40: NPRB,c = 106",
DRX Cycle,ms,,Not Applicable,,,
PDSCH Reference measurement channel,,1,SR.1.1 CCA,,SR.1.1 FDD,
,,2,SR.1.1 CCA,,SR.1.1 TDD,
,,3,SR.1.1 CCA,,SR2.1 TDD,
CORESET Reference Channel,,1,CR2.1 TDD,,CR.1.1 FDD,
,,2,CR2.1 TDD,,CR.1.1 TDD,
,,3,CR2.1 TDD,,CR2.1 TDD,
Dedicated CORESET RMC configuration,,1,CCR.1.1 CCA,,CCR.1.1 FDD,
,,2,CCR.1.1 CCA,,CCR.1.1 TDD,
,,3,CCR.1.1 CCA,,CCR.2.1 TDD,
TRS configuration,,1,TRS.1.2 TDD,,TRS.1.1 FDD,
,,2,TRS.1.2 TDD,,TRS.1.1 TDD,
,,3,TRS.1.2 TDD,,TRS.1.2 TDD,
DL CCA probability for semi-static channel access (PCCA_DL)DL CCA probability PCCA_DL,,"1, 2, 3",0.9375,,N/A,
DL CCA probability for dynamic channel access (PCCA_DL_1),,"1, 2, 3",0.75,,N/A,
DL CCA probability for dynamic channel access (PCCA_DL_2),,"1, 2, 3",0.75,,N/A,
UL CCA probability for semi-static channel access PCCA_UL,,"1, 2, 3",0.75,,N/A,
UL CCA probability for dynamic static channel access  PCCA_UL,,"1, 2, 3",0.87,,N/A,
OCNG Patterns,,"1, 2, 3",OP.1,,,
SMTC Configuration,,"1, 2, 3",SMTC.1,,,
DBT window configuration,,"1, 2, 3",As defined in A.3.28.1,,N/A,
SSB configuration,Semi-static channel access,"1,2",SSB.1 CCA (As defined in A.3.10A ),,SSB.1 FR1,
,Dynamic channel access,,SSB.2 CCA (As defined in A.3.10A ),,,
,Semi-static channel access,3,SSB.1 CCA (As defined in A.3.10A ),,SSB.2 FR1,
,Dynamic channel access,,SSB.2 CCA (As defined in A.3.10A ),,,
ssb-PositionQCL,,,1,,N/A,
PDSCH/PDCCH subcarrier spacing,kHz,1,30 kHz,,15 kHz,
,,2,30 kHz,,15 kHz,
,,3,30 kHz,,30 kHz,
PUCCH/PUSCH subcarrier spacing,kHz,1,30 kHz,,15 kHz,
,,2,30 kHz,,15 kHz,
,,3,30 kHz,,30 kHz,
PRACH configuration,,"1,2,3",FR1 PRACH configuration 1 under CCA,,FR1 PRACH configuration 1,
BWP configuration,Initial DL BWP,"1,2,3",DLBWP.0.1,,,
,Dedicated DL BWP,"1,2,3",DLBWP.1.1,,,
,Initial UL BWP,"1,2,3",ULBWP.0.1,,,
,Dedicated UL BWP,"1,2,3",ULBWP.1.1,,,
EPRE ratio of PSS to SSS,dB,"1,2,3",0,,,
EPRE ratio of PBCH DMRS to SSS,,"1,2,3",,,,
EPRE ratio of PBCH to PBCH DMRS,,"1,2,3",,,,
EPRE ratio of PDCCH DMRS to SSS,,"1,2,3",,,,
EPRE ratio of PDCCH to PDCCH DMRS,,"1,2,3",,,,
EPRE ratio of PDSCH DMRS to SSS,,"1,2,3",,,,
EPRE ratio of PDSCH to PDSCH,,"1,2,3",,,,
EPRE ratio of OCNG DMRS to SSSNote1,,"1,2,3",,,,
EPRE ratio of OCNG to OCNG DMRSNote1,,"1,2,3",,,,
Note2,dBm/SCS,"1,2",-95,,-98,
,,3,-95,,-95,
,dB,"1,2,3",4,4,-Infinity,5
,dB,"1,2,3",4,4,-Infinity,5
SSB_RP,dBm/SCS,"1,2",-91,-91,-Infinity,-93
,,3,-91,-91,-Infinity,-90
IoNote3,dBm/ChBW,"1,2",-58.49,-58.49,-70.05,-63.85
,,3,-58.49,-58.49,-63.94,-57.75
Propagation condition,-,"1,2,3",AWGN,,AWGN,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:For UE supporting both semi-static and dynamic cannel access, the UE must be tested under both dynamic and semi-static channel occupancy configurations.",,,,,,
