Parameter,,Unit,Configuration,Cell 1,
,,,,T1,T2
RF channel number,,,"1, 2",1,
DL CCA probability for semi-static channel access (PCCA_DL)DL CCA probability PCCA_DL,,,"1, 2",0.9375,
DL CCA probability for dynamic channel access (PCCA_DL_1),,,"1, 2",0.75,
DL CCA probability for dynamic channel access (PCCA_DL_2),,,"1, 2",0.75,
UL CCA probability for semi-static channel access  PCCA_UL,,,"1, 2",0.75,
UL CCA probability for dynamic static channel access  PCCA_UL,,,"1, 2",0.87,
TDD Configuration,,,"1, 2",TDDConf.1.1.CCA,
BWchannel,,MHz,"1, 2","40: NPRB,c = 106 (TDD)",
PDSCH reference measurement channel,,,"1, 2",SR.1.1 CCA,
CORESET reference channel,,,"1, 2",CR.1.1 CCA,
Dedicated CORESET RMC configuration,,,"1, 2",CCR.1.1 CCA,
TRS configuration,,,"1, 2",TRS.1.2 TDD,
OCNG patternNote1,,,"1, 2",OP.1,
BWP,Initial DL BWP,,"1, 2",DLBWP.0.1,
,Dedicated DL BWP,,,DLBWP.1.1,
,Initial UL BWP,,,ULBWP.0.1,
,Dedicated UL BWP,,,ULBWP.1.1,
SMTC configuration,,,"1, 2",SMTC.1,
DBT window configuration,,,"1, 2",As defined in A.3.28.1,
SSB configuration,,,"1, 2",SSB.1 CCA for semi-static channel access; SSB.2 CCA for dynamic channel access;,
EPRE ratio of PSS to SSS,,dB,"1, 2",0,
EPRE ratio of PBCH_DMRS to SSS,,,,,
EPRE ratio of PBCH to PBCH_DMRS,,,,,
EPRE ratio of PDCCH_DMRS to SSS,,,,,
EPRE ratio of PDCCH to PDCCH_DMRS,,,,,
EPRE ratio of PDSCH_DMRS to SSS,,,,,
EPRE ratio of PDSCH to PDSCH_DMRS,,,,,
EPRE ratio of OCNG DMRS to SSS,,,,,
EPRE ratio of OCNG to OCNG DMRS,,,,,
NocNote2,,dBm/15 KHz,"1, 2",-98,
NocNote2,,dBm/SCS,"1, 2",-95,
Ês/Noc,,dB,"1, 2",0,0
Ês/IotNote3,,dB,"1, 2",0,0
SS-RSRPNote3,,dBm/SCS,"1, 2",-95,-95
IoNote3,,dBm/38.16 MHz,"1, 2",-60.94,-60.94
Propagation condition,,,"1, 2",AWGN,
Antenna Configuration and Correlation Matrix,,,"1, 2",1x2 Low,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for Noc to be fulfilled.NOTE 3:Ês/Iot, SS-RSRP, and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:For UE supporting both semi-static and dynamic cannel access, the UE must be tested under both dynamic and semi-static channel occupancy configurations.",,,,,
