Parameter,,,Unit,Test configuration,Cell 1,,Cell 2,
,,,,,T1,T2,T1,T2
NR RF Channel Number,,,,Config 1,1,,2,
Duplex mode,,,,Config 1,TDD,,,
TDD configuration,,,,Config 1,TDDConf.1.1 CCA,,,
BWchannel,,,MHz,Config 1,"40: NPRB,c = 106",,,
BWP BW,,,MHz,Config 1,"40: NPRB,c = 106",,,
BWP configuration,Initial DL BWP,,Config 1,Config 1,DLBWP.0.1,,NA,
,Initial UL BWP,,Config 1,,ULBWP.0.1,,NA,
,Dedicated DL BWP,,Config 1,,DLBWP.1.1,,NA,
,Dedicated UL BWP,,Config 1,,ULBWP.1.1,,NA,
TRS configuration,,,,Config 1,TRS.1.2 TDD,,NA,
OCNG Patterns defined in A.3.2.1.1 (OP.1),,,,Config 1,OP.1,,OP.1,
PDSCH Reference measurement channel,,,,Config 1,SR.1.1 CCA,,,
CORESET Reference Channel,,,,Config 1,CR.1.1 CCA,,,
SSB parameters,,"Semi-static channel access Note 5,7",,Config 1,SSB.1 CCA,,SSB.1 CCA,
,,"Dynamic channel access Note 6,7",,Config 1,SSB.2 CCA,,SSB.2 CCA,
DBT window configuration,,,,Config 1,As defined in A.3.28.1,,As defined in A.3.28.1,
SMTC configuration defined in A.3.11,,,,Config 1,SMTC.1,,SMTC.4,
DL CCA probability PCCA_DL,,"Semi-static channel access Note 5,7",,Config 1,PCCA_DL=0.9375,,PCCA_DL=0.9375,
,,"Dynamic channel access Note 6,7",,Config 1,PCCA_DL_1=0.75PCCA_DL_2=0.75,,PCCA_DL_1=0.75PCCA_DL_2=0.75,
UL CCA probability PCCA_UL,,"Semi-static channel access Note 5,7",,Config 1,PCCA_UL=1,,PCCA_UL=1,
,,"Dynamic channel access Note 6,7",,Config 1,PCCA_UL=1,,PCCA_UL=1,
PDSCH/PDCCH subcarrier spacing,,,kHz,Config 1,30,,,
EPRE ratio of PSS to SSS,,,,Config 1,0,,0,
EPRE ratio of PBCH DMRS to SSS,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,,
Note2,,,dBm/15 kHz,Config 1,-98,,-98,
Note2,,,dBm/SCS,Config 1,-95,,-95,
SS-RSRP Note 3,,,dBm/SCS,Config 1,-91,-91,-Infinity,-88
,,,dB,Config 1,4,4,-Infinity,7
,,,dB,Config 1,4,4,-Infinity,7
IoNote3,,,dBm/9.36 MHz,Config 1,-58.49,-58.49,-63.94,-56.15
Propagation Condition,,,,Config 1,AWGN,,AWGN,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols. For cells with CCA model, OCNG is transmitted only in the slots with downlink transmission burst and is not transmitted during the muted slots or during DBT window.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for NOC to be fulfilled.NOTE 3:SS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:For UE supporting semi-static channel access and network configuring semi-static channel occupancy.NOTE 6:For UE supporting dynamic channel access and network configuring dynamic channel occupancy.NOTE 7:For UE supporting both semi-static and dynamic channel access, the UE must be tested under dynamic channel access configuration.",,,,,,,,
