Parameter,,Configurations,Unit,Test 1,
,,,,Cell 1,Cell 2
RF Channel Number,,,,1,2
BWchannel,,,MHz,40,40
SSB configuration,"Semi-static channel access Note 1, 3",1,,SSB.1 CCA,SSB.1 CCA
,"Dynamic channel access Note 2, 3",1,,SSB.2 CCA,SSB.2 CCA
PCCA_DL,,,,1,"0.9375 (Note 1, 3)0.75 / 0.75 (Note 2, 3)"
PCCA_UL,,,,1,"0.87 (Note 1, 3)0.75 (Note 2, 3)"
DL CCA model,,,,N/A,As specified in A.3.26.2.1
UL CCA model,,,,N/A,As specified in A.3.26.2.2
Measurement bandwidth,,,,Same as channel access bandwidth,
Channel access bandwidth,,,MHz,20,
DRX Cycle configuration,,,ms,Not Applicable,
PDSCH Reference measurement channel,,,,SR.1.1 CCA,SR.1.1 CCA
RMSI CORESET Reference Channel,,,,CR.1.1 CCA,CR.1.1 CCA
Dedicated CORESET Reference Channel,,,,CCR.1.1 CCA,CCR.1.1 CCA
OCNG Patterns,,,,OP.1,OP.1
EPRE ratio of PSS to SSS,,,dB,0,0
EPRE ratio of PBCH DMRS to SSS,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,
in slots not corresponding to RSSI measurement time configuration (RMTC),,,dBm/SCS,-106,-106
in slots corresponding to RSSI measurement time configuration (RMTC),,,dBm/SCS,-106,-87
in slots not corresponding to RSSI measurement time configuration (RMTC),,,dB,2.5,2.5
in slots corresponding to RSSI measurement time configuration (RMTC),,,dB,2.5,-Infinity
SS-RSRP in slots not corresponding to RSSI measurement time configuration (RMTC),,,dBm/SCS,-103.5,-103.5
SS-RSRP in slots corresponding to RSSI measurement time configuration (RMTC),,,,-103.5,-Infinity
Io within measurement bandwidth in slots not corresponding to RSSI measurement time configuration (RMTC),,,dBm/measBW,-77.96,-77.96
Io within measurement bandwidth in slots corresponding to RSSI measurement time configuration (RMTC),,,dBm/measBW,-77.96,-58.96
Propagation condition,,,-,AWGN,
channelOccupancyThreshold,,,dBm,-83,
"NOTE 1:For UE supporting semi-static channel access and network configuring semi-static channel occupancy.NOTE 2:For UE supporting dynamic channel access and network configuring dynamic channel occupancy.NOTE 3:For a UE supporting both semi-static and dynamic channel access, the UE can be tested under dynamic channel occupancy only.",,,,,
