Parameter,Configuration,Unit,Value,
,,,Cell 1,Cell 2
Active PCell/SCell Configuration,,,PCell,SCell
RF Channel Number,,,1,2
DL CCA model,1~3,,N/A,As specifieed in A.3.26.2.1
UL CCA model,1~3,,N/A,As specified in A.3.26.2.2
Duplex mode,1,,FDD,TDD
,2,,TDD,
,3,,TDD,
TDD Configuration,1,,N/A,TDDConf.1.1 CCA
,2,,TDDConf.1.1,
,3,,TDDConf.2.1,
BWchannel,1,MHz,"10: NPRB,c = 52","40: NPRB,c = 106"
,2,,"10: NPRB,c = 52",
,3,,"40: NPRB,c = 106",
PDSCH Reference measurement channel,1,,SR.1.1 FDD,SR.1.1 CCA
,2,,SR.1.1 TDD,
,3,,SR.2.1 TDD,
RMSI CORESET Reference Channel,1,,CR.1.1 FDD,CR.1.1 CCA
,2,,CR.1.1 TDD,
,3,,CR.2.1 TDD,
Dedicated CORESET Reference Channel,1,,CCR.1.1 FDD,CCR.1.1 CCA
,2,,CCR.1.1 TDD,
,3,,CCR.2.1 TDD,
SSB configuration,1,,SSB.3 FR1,SSB.3 CCA for semi-static channel access
,2,,SSB.3 FR1,SSB.4 CCA for dynamic channel access
,3,,SSB.4 FR1,
OCNG Patterns,1~3,,OP.1,OP.1
Initial BWP Configuration,1~3,,DLBWP.0.1ULBWP.0.1,DLBWP.0.1ULBWP.0.1
Dedicated BWP configuration,1~3,,DLBWP.1.1ULBWP.1.1,DLBWP.1.1ULBWP.1.1
SMTC configuration,1~3,,SMTC.1,N/A
DBT Window Configuration,1~3,,N/A,DBT.1
TRS Configuration,1,,TRS.1.1 FDD,TRS.1.2 TDD
,2,,TRS.1.1 TDD,
,3,,TRS.1.2 TDD,
DRX configuration,1~3,,Off,Off
reportConfigType,1~3,,periodic,periodic
reportQuantity,1~3,,ssb-Index-RSRP,ssb-Index-RSRP
Number of reported RS,1~3,,2,2
L1-RSRP reporting period,1~3,slot,80,80
T1,1~3,s,5,5
T2,1~3,s,1,1
EPRE ratio of PSS to SSS,1~3,dB,0,0
EPRE ratio of PBCH DMRS to SSS,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,
Propagation condition,1~3,,AWGN,AWGN
"NOTE 1:OCNG shall be used such that the resources in Cell 1 are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols. For cells with CCA model, OCNG is transmitted only in the slots with downlink transmission burst and is not transmitted during the muted slots or during DBT window.",,,,
