Parameter,,,Unit,Test 1,,Test 2,,Test 3,
,,,,Cell 2,Cell 3,Cell 2,Cell 3,Cell 2,Cell 3
Cell ID,,,,489,0,489,0,489,0
SSB ARFCN,,,,freq1,,freq1,,freq1,
DL CCA model,,,,As specified in clause A.3.26.2.1,,,,,
UL CCA model,,,,As specified in clause A.3.26.2.2,,,,,
"PCCA_DL for dynamic channel access Note 7,9",,,,PCCA_DL_1=0.75PCCA_DL_2=0.75,,,,,
"PCCA_DL for semi-static channel access Note 8,9",,,,PCCA_DL=0.9375,,,,,
PCCA_UL,,,,1,,,,,
TDD configuration,,"Config 1,2,3",,TDDConf.1.1 CCA,,,,,
BWchannel,,"Config 1,2,3",MHz,"40: NPRB,c = 106",,,,,
BWP BW,,"Config 1,2,3",,"40: NPRB,c = 106",,,,,
Downlink initial BWP configuration,,,,DLBWP.0.1,,,,,
Downlink dedicated BWP configuration,,,,DLBWP.1.1,,,,,
Uplink initial BWP configuration,,,,ULBWP.0.1,,,,,
Uplink dedicated BWP configuration,,,,ULBWP.1.1,,,,,
TRS configuration,,"Config 1,2,3",,TRS.1.2 TDD,NA,TRS.1.2 TDD,NA,TRS.1.2 TDD,NA
DRX Cycle,,,ms,Not Applicable,,,,,
PDSCH Reference measurement channel,,"Config 1,2,3",,SR.1.1 CCA,-,SR.1.1 CCA,-,SR.1.1 CCA,-
RMSI CORESET Reference Channel,,"Config 1,2,3",,CR.1.1 CCA,-,CR.1.1 CCA,-,CR.1.1 CCA,-
Control channel RMC,,"Config 1,2,3",,CR.1.1 CCA,-,CR.1.1 CCA,-,CR.1.1 CCA,-
SSB configuration for semi-static channel access,,"Config 1,2,3",,SSB.1 CCA,SSB.1 CCA,SSB.1 CCA,SSB.1 CCA,SSB.1 CCA,SSB.1 CCA
SSB configuration for dynamic channel access,,"Config 1,2,3",,SSB.2 CCA,SSB.2 CCA,SSB.2 CCA,SSB.2 CCA,SSB.2 CCA,SSB.2 CCA
DBT window configuration,,"Config 1,2,3",,DBT.1,DBT.1,DBT.1,DBT.1,DBT.1,DBT.1
Time offset with Cell 1,,"Config 1,2,3",s,-,3,-,3,-,3
SMTC configuration,,"Config 1,2,3",,SMTC.1,,,,,
OCNG Patterns,,,,OCNG pattern 1,,,,,
PDSCH/PDCCH subcarrier spacing,,"Config 1,2,3",kHz,30 kHz,,,,,
EPRE ratio of PSS to SSS,,,dB,0,0,0,0,0,0
EPRE ratio of PBCH DMRS to SSS,,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,,,
Note2,"Config 1,2,3",NR_CCA_FR1_I,,Not applicableNote 5,,-94,,-110,
,,NR_CCA_FR1_J,,,,,,-109.5,
Note2,"Config 1,2,3",NR_CCA_FR1_I,dBm/SCS,Not applicableNote 5,,-91,,-107.0,
,,NR_CCA_FR1_J,,,,,,-106.5,
Note6,,,dB,2.46,-5.97,2.46,-5.97,-2.01,-3.54
Note6,,,dB,6,1,6,1,1,0
"SS-RSRPNote3,6","Config 1,2,3",NR_TDD_FR1_I,dBm/SCS,Not applicableNote 5,Not applicableNote 5,-85,-90,-106.00,-107.00
,,,,,,,,-105.50,-106.50
IoNote3,"Config 1,2,3",NR_CCA_FR1_I,dBm/38.16 MHz,Not applicableNote 5-,,-51.99,,-70.82,
,,NR_CCA_FR1_J,,,,,,-70.32,
Propagation condition,,,-,AWGN,,,,,
Antenna configuration,,,,1x2,,,,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols. For cells with CCA model, OCNG is transmitted only in the slots with downlink transmission burst and is not transmitted during the muted slots or during DBT window.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:Subtest 1 is not used when testing with 30 kHz SSB SCS.NOTE 6:The signal levels apply for SSS REs when the discovery burst is transmitted during DBT windows.NOTE 7: For UE supporting semi-static channel access and network configuring semi-static channel occupancy.NOTE 8: For UE supporting dynamic channel access and network configuring dynamic channel occupancy.NOTE 9: For a UE supporting both semi-static and dynamic channel access, the UE can be tested under dynamic channel occupancy only.",,,,,,,,,
