Parameter,,,,,,,Unit,,,Test 1,,,Test 2,
,,,,,,,,,,Cell 1,,,Cell 1,
SSB ARFCN,,,,,,,,,,freq1,,,freq1,
Duplex mode,,,Config 1,,,,,,,FDD,,,FDD,
,,,"Config 2,3",,,,,,,TDD,,,TDD,
TDD configuration,,,Config 1,,,,,,,Not Applicable,,,Not Applicable,
,,,Config 2,,,,,,,TDDConf.1.1,,,TDDConf.1.1,
,,,Config 3,,,,,,,TDDConf.2.1,,,TDDConf.2.1,
Downlink initial BWP configuration,,,,,,,,,,DLBWP.0.1,,,DLBWP.0.1,
Downlink dedicated BWP configuration,,,,,,,,,,DLBWP.1.1,,,DLBWP.1.1,
Uplink initial BWP configuration,,,,,,,,,,ULBWP.0.1,,,ULBWP.0.1,
Uplink dedicated BWP configuration,,,,,,,,,,ULBWP.1.1,,,ULBWP.1.1,
DRX Cycle configuration,,,,,,,ms,,,Not Applicable,,,Not Applicable,
TRS configuration,,,Config 1,,,,,,,TRS.1.1 FDD,,,TRS.1.1 FDD,
,,,Config 2,,,,,,,TRS.1.1 TDD,,,TRS.1.1 TDD,
,,,Config 3,,,,,,,TRS.1.2 TDD,,,TRS.1.2 TDD,
PDSCH Reference measurement channel,,,Config 1,,,,,,,SR.1.1 FDD,,,SR.1.1 FDD,
,,,Config 2,,,,,,,SR.1.1 TDD,,,SR.1.1 TDD,
,,,Config 3,,,,,,,SR.2.1 TDD,,,SR.2.1 TDD,
RMSI CORESET Reference Channel,,,Config 1,,,,,,,CR.1.1 FDD,,,CR.1.1 FDD,
,,,Config 2,,,,,,,CR.1.1 TDD,,,CR.1.1 TDD,
,,,Config 3,,,,,,,CR.2.1 TDD,,,CR.2.1 TDD,
Dedicated CORESET Reference Channel,,,Config 1,,,,,,,CCR.1.1 FDD,,,CCR.1.1 FDD,
,,,Config 2,,,,,,,CCR.1.1 TDD,,,CCR.1.1 TDD,
,,,Config 3,,,,,,,CCR.2.1 TDD,,,CCR.2.1 TDD,
OCNG Patterns,,,,,,,,,,OP.1,,,OP.1,
SS-RSSI-Measurement,,,,,,,,,,Not Applicable,,,Not Applicable,
SMTC configuration,,,"Config 1Config 2,3",,,,,,,SMTC.2,,,SMTC.2,
,,,,,,,,,,SMTC.1,,,SMTC.1,
SSB configuration,,,"Config 1,2",,,,,,,SSB.1 FR1,,,SSB.1 FR1,
,,,Config 3,,,,,,,SSB.2 FR1,,,SSB.2 FR1,
PDSCH/PDCCH subcarrier spacing,,,"Config 1,2",,,,kHz,,,15,,,15,
,,,Config 3,,,,,,,30,,,30,
EPRE ratio of PSS to SSS,,,,,,,dB,,,0,,,0,
EPRE ratio of PBCH DMRS to SSS,,,,,,,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,,,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,,,,,,,,
Note2,,,NR_FDD_FR1_A,,,,dBm/15 kHz,,,-93,,,-116,
,,,NR_FDD_FR1_B,,,,,,,,,,-115.5,
,,,NR_TDD_FR1_C,,,,,,,,,,-115,
,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,,,,,,-114.5,
,,,NR_FDD_FR1_E,,,,,,,,,,-114,
NR_FDD_FR1_G,,,,,,,,,-113,,,,,
,,,NR_FDD_FR1_H,,,,,,,,,,-112.5,
Note2,"Config 1,2",,,,,,dBm/SCS,,,-93,,,Same as Noc for 15 kHz,
,Config 3,,NR_FDD_FR1_A,,,,,,,-90,,,-113,
,,,NR_FDD_FR1_B,,,,,,,,,,-112.5,
,,,NR_TDD_FR1_C,,,,,,,,,,-112,
,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,,,,,,-111.5,
,,,NR_FDD_FR1_E,,,,,,,,,,-111,
,,,NR_FDD_FR1_G,,,,,,,,,,-110,
,,,NR_FDD_FR1_H,,,,,,,,,,-109.5,
,,,,,,,dB,,,0,,,-5.46,
,,,,,,,dB,,,4.54,,,-4,
SS-RSRPNote3,"Config 1,2",,NR_FDD_FR1_A,,,,dBm/SCS,,,-88.46,,,-120,
,,,NR_FDD_FR1_B,,,,,,,,,,-119.5,
,,,NR_TDD_FR1_C,,,,,,,,,,-119,
,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,,,,,,-118.5,
,,,NR_FDD_FR1_E,,,,,,,,,,-118,
,,,NR_FDD_FR1_G,,,,,,,,,,-117,
,,,NR_FDD_FR1_H,,,,,,,,,,-116.5,
Config 3,,NR_FDD_FR1_A,,,,,,-85.46,,,-117,,,
,,,NR_FDD_FR1_B,,,,,,,,,,-116.5,
,,,NR_TDD_FR1_C,,,,,,,,,,-116,
,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,,,,,,-115.5,
,,,NR_FDD_FR1_E,,,,,,,,,,-115,
,,NR_FDD_FR1_G,,,,,,,,,-114,,,
,,,NR_FDD_FR1_H,,,,,,,,,,-113.5,
SS-SINR Note3,,,NR_FDD_FR1_A,,,,dB,,,0,,,-5.46,
,,,NR_FDD_FR1_B,,,,,,,,,,,
,,,NR_TDD_FR1_C,,,,,,,,,,,
,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,,,,,,,
,,,NR_FDD_FR1_E,,,,,,,,,,,
,,,NR_FDD_FR1_G,,,,,,,,,,,
,,,NR_FDD_FR1_H,,,,,,,,,,,
IoNote3,"Config 1,2",,NR_FDD_FR1_A,,,,dBm/9.36 MHz,,,-57.5,,,-85.51,
,,,NR_FDD_FR1_B,,,,,,,,,,-85.01,
,,,NR_TDD_FR1_C,,,,,,,,,,-84.51,
,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,,,,,,-84.01,
,,,NR_FDD_FR1_E,,,,,,,,,,-83.51,
,,,NR_FDD_FR1_G,,,,,,,,,,-82.51,
,,,NR_FDD_FR1_H,,,,,,,,,,-82.01,
Config 3,,NR_FDD_FR1_A,,,dBm/38.16 MHz,,,-51.41,,,-79.41,,,
,,,NR_FDD_FR1_B,,,,,,,,,,-78.91,
,,,NR_TDD_FR1_C,,,,,,,,,,-78.41,
,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,,,,,,-77.91,
,,,NR_FDD_FR1_E,,,,,,,,,,-77.41,
,,NR_FDD_FR1_G,,,,,,,,,-76.41,,,
,,,NR_FDD_FR1_H,,,,,,,,,,-75.91,
Propagation condition,,,,,,,-,,,AWGN,,,AWGN,
Antenna configuration,,,,,,,-,,,1x2,,,1x2,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-SINR, SS-RSRP, and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SS-SINR, SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:NR operating band groups are as defined in clause 3.5.2.",,,,,,,,,,,,,,
