Parameter,,Unit,Value,
,,,Test 1,
Active PCell,,,Cell 1,
RF Channel Number,,,1,
BWchannel,"Config 1, 2",MHz,"100: NPRB,c = 66",
,"Config 3, 4",,"10: NPRB,c = 24",
Data PRBs allocated,"Config 1, 2, 3, 4",,24,
DL initial BWP configuration,"Config 1, 2, 3, 4",,DLBWP.0.1,
DL dedicated BWP configuration,"Config 1, 2, 3, 4",,DLBWP.1.1,
UL initial BWP configuration,"Config 1, 2, 3, 4",,ULBWP.0.1,
UL dedicated BWP configuration,"Config 1, 2, 3, 4",,ULBWP.1.1,
RMSI CORESET Reference Channel,"Config 1, 2",,[CR.2.1 FDD],
,"Config 3, 4",,CR.2.1 TDD,
Dedicated CORESET Reference Channel,"Config 1, 2",,[CCR.2.1 FDD],
,"Config 3, 4",,CCR 2.1 TDD,
SSB Configuration,"Config 1, 2",,SSB.1 FR2,
,"Config 3, 4",,SSB.1 FR1,
SMTC Configuration,"Config 1, 2, 3, 4",,SMTC.1,
PDSCH/PDCCH subcarrier spacing,"Config 1, 2",,120 kHz,
,"Config 3, 4",,30 kHz,
PRACH Configuration,"Config 1, 2",,FR2 PRACH Configuration 1,
,"Config 3, 4",,FR1 PRACH Configuration 1,
SSB index assigned as RLM RS,,,0,
OCNG parameters,,,OP.1,
CP length,,,Normal,
Out of sync transmission parameters,DCI format,,1-0,
,Number of Control OFDM symbols,,2,
,Aggregation level,CCE,8,
,Ratio of hypothetical PDCCH RE energy to average SSS RE energy,dB,4,
,Ratio of hypothetical PDCCH DMRS energy to average SSS RE energy,dB,4,
,DMRS precoder granularity,,REG bundle size,
,REG bundle size,,6,
DRX,,,OFF,
Gap pattern ID,,,N.A.,
Layer 3 filtering,,,Enabled,
T310 timer,,ms,0,
T311 timer,,ms,1000,
N310,,,1,
N311,,,1,
CSI-RS configuration for CSI reporting,"Config 1, 2",,[CSI-RS.2.1 FDD],
,"Config 3,4",,CSI-RS.1.1 FDD,
CSI-RS for tracking,"Config 1, 2",,[TRS.2.1 FDD],
,"Config 3, 4",,TRS1.2 TDD,
T1,,s,0.2,
T2,,s,0.48,
T3,,s,0.48,
D1,,s,0.44,
NOTE 1:All configurations are assigned to the UE prior to the start of time period T1.NOTE 2:UE-specific PDCCH is not transmitted after T1 starts.,,,,
