Parameter,Config,Unit,SSB#0,,SSB#1,,
,,,T1,T2,T1,T2,
Angle of arrival configuration,,,Setup 1 according to A.3.15.1,,,,
Beam AssumptionNote 4,1~4,,Rough,,,,
Note2,1~4,dBm/15 kHz,-103.2,,,,
Note2,1~4,dBm/SSB SCS,-94.2,,,,
,3~4,,-100.2,,,,
,1~4,dB,0,0,-Infinity,9,
SSB_RP Note3,"1,2",dBm/SSB SCS,-94.2,-94.2,-Infinity,-85.2,
,3~4,,-100.2,-100.2,-Infinity,-85.2,
,1~4,dB,0,0,-Infinity,9,
"NOTE 1: The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled. The Noc is calculated using -145 dBm/Hz (clause 11.1.3.4.2 in [42])NOTE 3:SSB_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:Information about types of UE beam is given in B.2.1.7, and does not limit UE implementation or test system implementation",,,,,,,
