Parameter,Config,Unit,T1,,T2,
,,,Cell 1,Cell 2,Cell 1,Cell 2
Cell ID,,,489,0,489,0
SSB ARFCN,,,1,,1,
BWchannel,"1,2",MHz,"100: NPRB,c = 66",,"100: NPRB,c = 66",
,"3,4",,"10: NPRB,c = 24",,"10: NPRB,c = 24",
Data PRBs allocated,"1,2,3,4",,24,,24,
Downlink initial BWP configuration,"1,2,3,4",,DLBWP.0.1,-,DLBWP.0.1,-
Downlink dedicated BWP configuration,"1,2,3,4",,DLBWP.1.1,-,DLBWP.1.1,-
Uplink initial BWP configuration,"1,2,3,4",,ULBWP.0.1,-,ULBWP.0.1,-
Uplink dedicated BWP configuration,"1,2,3,4",,ULBWP.1.1,-,ULBWP.1.1,-
DRX cycle configuration,"1,2,3,4",,Not applicable,-,Not applicable,-
TRS configuration,"1,2",,TBD,-,TBD,-
,"3,4",,TRS.1.2,,TRS.1.2,
TCI state,,,TBD,-,TBD,-
PDSCH Reference measurement channel,,,TBD,-,TBD,-
,,,SR.2.1,,SR.2.1 TDD,
RMSI CORESET Reference Channel,,,TBD,-,TBD,-
,,,CR.2.1,,CR.2.1 FDD,
Dedicated CORESET Reference channel,,,TBD,-,TBD,-
,,,CCR.4.1,,CCR.2.1 TDD,
OCNG Patterns,"1,2,3,4",,OP.3,OP.3,OP.3,OP.3
SSB configuration,"1,2",,SSB.3 FR2,SSB.3 FR2,SSB.3 FR2,SSB.3 FR2
,"3,4",,SSB.1,SSB.5,SSB.1,SSB.5
SMTC configuration,"1,2,3,4",,SMTC.1,SMTC.1,SMTC.1,SMTC.1
Time offset with Cell 1,"1,2,3,4",s,-,3,-,3
PDSCH/PDCCH subcarrier spacing,"1,2",kHz,120,120,120,120
EPRE ratio of PSS to SSS,,dB,0,0,0,0
EPRE ratio of PBCH_DMRS to SSS,"1,2,3,4",,,,,
EPRE ratio of PBCH to PBCH_DMRS,,,,,,
EPRE ratio of PDCCH_DMRS to SSS,,,,,,
EPRE ratio of PDCCH to PDCCH_DMRS,,,,,,
EPRE ratio of PDSCH_DMRS to SSS,,,,,,
EPRE ratio of PDSCH to PDSCH_DMRS,,,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,,,
Propagation conditions,"1,2,3,4",,AWGN,AWGN,AWGN,AWGN
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.,,,,,,
