Parameter,Unit,Test configuration,Cell 1,,,Cell 2,,
,,,T1,T2,T3,T1,T2,T3
TDD configuration,,1,N/A,,,N/A,,
,,2,TDDConf.1.1,,,TDDConf.1.1,,
,,3,TDDConf.2.1,,,TDDConf.2.1,,
,,4,N/A,,,N/A,,
PDSCH RMC configuration,,1,SR.1.1 FDD,,,SR.1.1 FDD,,
,,2,SR.1.1 TDD,,,SR.1.1 TDD,,
,,3,SR.2.1 TDD,,,SR.2.1 TDD,,
,,4,SR.1.1 FDD,,,SR.1.1 FDD,,
RMSI CORESET RMC configuration,,1,CR.1.1 FDD,,,CR.1.1 FDD,,
,,2,CR.1.1 TDD,,,CR.1.1 TDD,,
,,3,CR.2.1 TDD,,,CR.2.1 TDD,,
,,4,CR.1.1 FDD,,,CR.1.1 FDD,,
Dedicated CORESET RMC configuration,,1,CCR.1.1 FDD,,,CCR.1.1 FDD,,
,,2,CCR.1.1 TDD,,,CCR.1.1 TDD,,
,,3,CCR.2.1 TDD,,,CCR.2.1 TDD,,
,,4,CCR.1.1 FDD,,,CCR.1.1 FDD,,
OCNG Pattern,,"1, 2, 3, 4",OP.1,,,OP.1,,
Initial DL BWP configuration,,"1, 2, 3, 4",DLBWP.0.1,,,DLBWP.0.1,,
TRS Configuration,,1,TRS.1.1.FDD,,,TRS.1.1.FDD,,
,,2,TRS.1.1.TDD,,,TRS.1.1.TDD,,
,,3,TRS.1.2.TDD,,,TRS.1.2.TDD,,
,,4,TRS.1.1.FDD,,,TRS.1.1.FDD,,
Initial UL BWP configuration,,"1, 2, 3, 4",ULBWP.0.1,,,ULBWP.0.1,,
RLM-RS,,"1, 2, 3, 4",SSB,,,SSB,,
,dB,1,4,-infinity,-infinity,-infinity,-infinity,4
,,2,,,,,,
,,3,,,,,,
,,4,,,,,,
Note2,dBm/SCS,1,-98,,,,,
,,2,-98,,,,,
,,3,-95,,,,,
,,4,,,,,,
Note2,dBm/15 kHz,1,-98,,,,,
,,2,,,,,,
,,3,,,,,,
,,4,,,,,,
,dB,1,4,-infinity,-infinity,-infinity,-infinity,4
,,2,,,,,,
,,3,,,,,,
,,4,,,,,,
SS-RSRP Note3,dBm/SCS,1,-94,-infinity,-infinity,-infinity,-infinity,-94
,,2,-94,-infinity,-infinity,-infinity,-infinity,-94
,,3,-91,-infinity,-infinity,-infinity,-infinity,-91
,,4,-94,-infinity,-infinity,-infinity,-infinity,-94
Io,dBm/9.36 MHz,1,-64.59,-70.05,-70.05,-70.05,-70.05,-64.59
,dBm/9.36 MHz,2,-64.59,-70.05,-70.05,-70.05,-70.05,-64.59
,dBm/18.36 MHz,3,-61.66,-67.12,-67.12,-67.12,-67.12,-61.66
,dBm/9.36 MHz,4,-64.59,-70.05,-70.05,-70.05,-70.05,-64.59
Propagation Condition,,"1, 2, 3, 4",AWGN,,,,,
Antenna Configuration,,,1x2,,,,,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,,,,
