Parameter,,Unit,Cell 2,
,,,Test 1,Test 2
E-UTRA RF channel number,,,2,
Duplex mode,"Config 1, 2, 3, 7",,FDD,
,"Config 4, 5, 6, 8",,TDD,
TDD special subframe configurationNote1,"Config 1, 2, 3, 7",,N/A,
,"Config 4, 5, 6, 8",,6,
TDD uplink-downlink configurationNote1,"Config 1, 2, 3, 7",,N/A,
,"Config 4, 5, 6, 8",,1,
BWchannel,,MHz,"5 MHz: NPRB,c = 2510 MHz: NPRB,c = 5020 MHz: NPRB,c = 100",
PDSCH parameters:DL Reference Measurement ChannelNote2,,,-,
PCFICH/PDCCH/PHICH parameters:DL Reference Measurement ChannelNote2,"Config 1, 2, 3, 7",,5 MHz: R.11 FDD10 MHz: R.6 FDD20 MHz: R.10 FDD,
,"Config 4, 5, 6, 8",,5 MHz: R.11 TDD10 MHz: R.6 TDD20 MHz: R.10 TDD,
OCNG PatternsNote2,"Config 1, 2, 3, 7",,5 MHz: OP.19 FDD10 MHz: OP.6 FDD20 MHz: OP.14 FDD,
,"Config 4, 5, 6 ,8",,5 MHz: OP.10 TDD10 MHz: OP.2 TDD20 MHz: OP.8 TDD,
PBCH_RA,,dB,0,
PBCH_RB,,,,
PSS_RA,,,,
SSS_RA,,,,
PCFICH_RB,,,,
PHICH_RA,,,,
PHICH_RB,,,,
PDCCH_RA,,,,
PDCCH_RB,,,,
PDSCH_RA,,,,
PDSCH_RB,,,,
OCNG_RANote3,,,,
OCNG_RBNote3,,,,
NocNote4,"Bands FDD_A Note 9, TDD_A",dBm/15 kHz,-91.65,-117
,"Bands FDD_B1, FDD_B2 Note 10",,,-116.5
,"Bands FDD_C, TDD_C",,,-116
,Bands FDD_D,,,-115.5
,"Bands FDD_E, FDD_F Note 7, TDD_E",,,-115
,Bands FDD_G Note 8,,,-114
,Bands FDD_H,,,-113.5
Ês/Noc,,dB,10,-4
Ês/IotNote5,,dB,10,-4
RSRPNote5,"Bands FDD_A Note 9, TDD_A",dBm/15 kHz,-81.65,-121
,"Bands FDD_B1, FDD_B2 Note 10",,,-120.5
,"Bands FDD_C, TDD_C",,,-120
,Bands FDD_D,,,-119.5
,"Bands FDD_E, FDD_F Note 7, TDD_E",,,-119
,Bands FDD_G Note 8,,,-118
,Bands FDD_H,,,-117.5
SCH_RPNote5,"Bands FDD_A Note 9, TDD_A",dBm/15 kHz,-81.65,-121
,"Bands FDD_B1, FDD_B2 Note 10",,,-120.5
,"Bands FDD_C, TDD_C",,,-120
,Bands FDD_D,,,-119.5
,"Bands FDD_E, FDD_F Note 7, TDD_E",,,-119
,Bands FDD_G Note 8,,,-118
,Bands FDD_H,,,-117.5
IoNote5,"Bands FDD_A Note 9, TDD_A",dBm/Ch BW,"-53.45 + 10log(NPRB,c/50)","-87.76 + 10log(NPRB,c/50)"
,"Bands FDD_B1, FDD_B2 Note 10",,,"-87.26 + 10log(NPRB,c/50)"
,"Bands FDD_C, TDD_C",,,"-86.76 + 10log(NPRB,c/50)"
,Bands FDD_D,,,"-86.26 + 10log(NPRB,c/50)"
,"Bands FDD_E, FDD_F Note 7, TDD_E",,,"-85.76 + 10log(NPRB,c/50)"
,Bands FDD_G Note 8,,,"-84.76 + 10log(NPRB,c/50)"
,Bands FDD_H,,,"-84.26 + 10log(NPRB,c/50)"
Propagation Condition,,,AWGN,
Antenna Configuration,,,1x1,
"NOTE 1:Special subframe and uplink-downlink configurations are specified in table 4.2-1 in TS 36.211 [23].NOTE 2:DL RMCs and OCNG patterns are specified in clauses A 3.1 and A 3.2 of TS 36.133 [15] respectively.NOTE 3:OCNG shall be used such that all cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 4:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for Noc to be fulfilled.NOTE 5:Ês/Iot, RSRP, SCH_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 6:E-UTRA operating band groups are as defined in clause 3.5 of TS 36.133 [15].NOTE 7:For Band 26, the tests shall be performed with the carrier frequency of assigned E-UTRA channel bandwidth within 865-894 MHz.NOTE 8:Except Band 29.NOTE 9:Except Band 32, Band 75 and Band 76.NOTE 10:For Band 74, the tests shall be performed with the carrier frequency of the assigned E-UTRA channel bandwidth within 1475.9-1510.9 MHz.",,,,
