Parameter,Unit,Test1,
,,T1,T2
Duplex mode,,TDD,
TDD configuration,,TDDConf.3.1,
BWchannel,MHz,"100: NPRB,c = 66",
BWP BW,MHz,"100: NPRB,c = 66",
DRX Cycle,ms,Not Applicable,
PDSCH Reference measurement channel,,SR.3.1 TDD,
CORESET Reference Channel,,CR.3.1 TDD,
OCNG Patterns,,OP.1,
TRS configuration,,TRS.2.1 TDD,
PDSCH/PDCCH TCI state,,TCI.State.2,
SMTC configuration,,SMTC.1,
SSB Configuration,,SSB.1 FR2,
PDSCH/PDCCH subcarrier spacing,kHz,120,
PUCCH/PUSCH subcarrier spacing,kHz,120,
EPRE ratio of PSS to SSS,dB,0,
EPRE ratio of PBCH DMRS to SSS,,,
EPRE ratio of PBCH to PBCH DMRS,,,
EPRE ratio of PDCCH DMRS to SSS,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,
EPRE ratio of PDSCH DMRS to SSS,,,
EPRE ratio of PDSCH to PDSCH,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,
Propagation condition,-,AWGN,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zoneNOTE 5:As observed with 0 dBi gain antenna at the centre of the quiet zone,,,
