Parameter,Unit,Test configuration,Value,Comment
NR RF Channel Number,,Config 1,1: Cell 1 and Cell 2,One TDD carrier frequency is used for the NR cells.
Active cell,,Config 1,NR cell 1 (PVell),Cell 1 is the PCell and the DL-AoD reference cell in the positioning assistance data.
Neighbour cell,,Config 1,NR cell 2,Cell 2 is a neighbour cell in the positioning assistance data.
Gap Pattern Id,,Config 1,GP#13 or GP#24Note1,As specified in clause 9.1.2-1.
Measurement gap offset,,Config 1,39,
SMTC parameters,,Config 1,SMTC.1,As specified in clause A.3.11
SSB parameters,,Config 1,SSB.3 FR2,As specified in clause A.3.10.2
CP length,,Config 1,Normal,
DRX,,Config 1,OFF,DRX is not used
Time offset between serving and neighbour cells,,Config 1,3s,Synchronous cells.
Expected RSTD,s,Config 1,3,
Expected RSTD uncertainty,s,Config 1,5,
PRS RX hopping request,,"1, 2, 3, 4",NOT present,
T1,s,Config 1,5,
T2,s,Config 1,7,
"NOTE 1:GP#24 is configured if UE supports MG#24, otherwise GP#13 is configured.",,,,
