Parameter,Unit,Test configuration,Test 1,,
,,,Cell 1,Cell 2,
AoA setup,,1,Setup 1 as specified in clause A.3.15,,
BWchannel,MHz,1,"400: NRB,c = 264",,
Beam AssumptionNote 7,,1,Rough,Rough,
DRX,s,1,0.64,,
Time offset with Cell 1,s,1,N/A,3,
TDD configuration,,1,TDDConf.3.1,TDDConf.3.1,
PDSCH RMC configuration,,1,SR.3.1 TDD,N/A,
RMSI CORESET RMC configuration,,1,CR.3.1 TDD,N/A,
Dedicated CORESET RMC configuration,,1,CCR.3.1 TDD,N/A,
OCNG Patterns,,1,OP.1,OP.1,
Initial BWP configuration,,1,DLBWP.0.1 ULBWP.0.1,N/A,
PRS configuration,,1,PRS.1.6 FR2,PRS.1.6 FR2,
PRS Resource slot offset,slot,1,0,4,
SRS configuration,,1,POS-SRS.3,N/A,
Note 2,dBm/SCS,1,-89,,
Note 2,dBm/15 kHz,1,-98,,
PRS,dB,1,-2.41,-12.12,
PRS,dB,1,-2,-10,
PRS-RSRP Note 3,dBm/SCS,1,-91,-99,
Io Note 3,dBm/380.16MHz,1,-51.61,-51.61,
Propagation Condition,,1,AWGN,,
"NOTE 1:OCNG shall be used such that active cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols other than those in the subframes with transmitted PRS.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:PRS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:PRS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zone.NOTE 6:As observed with 0 dBi gain antenna at the centre of the quiet zone.NOTE 7:Information about types of UE beam is given in annex B.2.1.3, and does not limit UE implementation or test system implementation.NOTE 8:Calculation of Es/IotBB includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 36.101-2 [19], and an allowance of 1dB for UE multi-band relaxation factor ΔMBP from TS 38.101-2 [19] table 6.2.1.3-4.",,,,,
