Parameter,Unit,Config,Test1
SSB ARFCN,,"1,2,3",1
TDD configuration,,1,Not Applicable
,,2,TDDConf.1.1
,,3,TDDConf.2.1
BWchannel,MHz,1,"10: NPRB,c = 52"
,,2,"10: NPRB,c = 52"
,,3,"40: NPRB,c = 106"
Initial BWP Configuration,,"1,2,3",DLBWP.0.1ULBWP.0.1
Dedicated BWP Configuration,,"1,2,3",DLBWP.1.1ULBWP.1.1
DRx Cycle,ms,"1,2,3",N/A
PDSCH Reference measurement channel,,1,SR.1.1 FDD
,,2,SR.1.1 TDD
,,3,SR.2.1 TDD
RMSI CORESET Reference Channel,,1,CR.1.1 FDD
,,2,CR.1.1 TDD
,,3,CR.2.1 TDD
Dedicated CORESET Reference Channel,,1,CCR.1.1 FDD
,,2,CCR.1.1 TDD
,,3,CCR.2.1 TDD
OCNG Patterns,,"1,2,3",OP.1
,,,
SSB configuration,,"1,2",SSB.1 FR1
,,3,SSB.2 FR1
SMTC Configuration,,"1,2",SMTC.1
,,3,SMTC.2
TRS configuration,,1,TRS.1.1 FDD
,,2,TRS.1.1 TDD
,,3,TRS.1.2 TDD
EPRE ratio of PSS to SSS,dB,"1,2,3",0
EPRE ratio of PBCH DMRS to SSS,,,
EPRE ratio of PBCH to PBCH DMRS,,,
EPRE ratio of PDCCH DMRS to SSS,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,
EPRE ratio of PDSCH DMRS to SSS,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,
Note2,dBm/15 kHz,"1,2,3",-98
Note2,dBm/SCS,"1,2",-98
,,3,-95
,,"1,2,3",3
,,"1,2,3",3
SS-RSRPNote3,dBm/SCS,"1,2",-95
,,3,-92
IoNote3,dBm/9.36 MHz,"1,2",-65.2
,dBm/38.1 MHz,3,-59.2
Propagation condition,,"1,2",AWGN + 2412 HzNote6
,,3,AWGN + 5556 HzNote7
SRS Config,,"1,2",SRSConf.1Note5
,,3,SRSConf.1Note5
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:SRS configs are given in table A.6.4.1.1.1-3NOTE 6:2412 Hz is the maximum value of doppler with carrier frequency of 2170 MHz. The specific doppler shift trajectory is up to test system’s design considering of BS location and UE GNSS emulation.NOTE 7:5556 Hz is the maximum value of doppler with carrier frequency of 5 GHz. The specific doppler shift trajectory is up to test system’s design considering of BS location and UE GNSS emulation.,,,
