Parameter,Unit,Test configuration,Cell 1,
,,,T1,T2
Satellite information,,"1,3,5",SSC.1,
,,"2,4,6",SSC.2,
TDD configuration,,1-6,N/A,
PDSCH parameters,,1-6,SR.1.1 FDD,
RMSI CORESET parameters,,1-6,CR.1.1 FDD,
Dedicated CORESET parameters,,1-6,CCR.1.1 FDD,
SSB parameters,,1-6,SSB.1 FR1,
NR SMTC parameters,,1-6,SMTC.2,
OCNG Pattern,,1-6,OP.1 defined in A.3.2.1,
Initial DL BWP configuration,,1-6,DLBWP.0.1,
Initial UL BWP configuration,,1-6,ULBWP.0.1,
RLM-RS,,1-6,SSB,
Qrxlevmin,dBm/SCS,1-6,-140,
,dBm/SCS,1-6,-98,
,dBm/15 kHz,1-6,-98,
SS-RSRP,dBm/SCS,1-6,-84,-84
,dB,1-6,14,14
,dB,1-6,14,14
Io,dBm/9.36 MHz,1-6,-55.88,-55.88
Treselection,s,1-6,0,
SnonintrasearchP,dB,1-6,50,
"Threshx, highP (Note 2)",dB,1-6,48,
"Threshserving, lowP",dB,1-6,44,
"Threshx, lowP",dB,1-6,50,
Propagation Condition,,1-6,AWGN,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:This refers to the value of  Threshx, high  which is included in NR system information, and is a threshold for the E-UTRA target cell",,,,
