Parameter,Unit,Test configuration,Value,,Comment
,,,Test 1,Test 2,
Active cell,,"1, 2, 3, 4",Cell 1,,
Neighbour cell,,"1, 2, 3, 4",Cell 2 and Cell 3,,Cell to be identified.
RF Channel Number,,"1, 2, 3, 4",1: Cell 12:  Cell 2 and Cell 3,,
SMTC configuration,,"1, 2, 3, 4",SMTC.2,,
A3-Offset,dB,"1, 2, 3, 4",-4.5,,
CP length,,"1, 2, 3, 4",Normal,,
Hysteresis,dB,"1, 2, 3, 4",0,,
Time To Trigger,s,"1, 2, 3, 4",0,,
Filter coefficient,,"1, 2, 3, 4",0,,L3 filtering is not used
DRX,,"1, 2, 3, 4",DRX.1,DRX. 7,
Time offset between serving and neighbour cells,,"1, 2, 3, 4",3 s,,Synchronous cells
T1,s,"1, 2, 3, 4",5,,
T2,s,"1, 2, 3, 4",5,16,
