Parameter,,Unit,Test configuration,Value,Comment
Initial condition,Active cell,,"1, 2",Cell 1,The UE camps on cell 1 in the initial phase and enter intor relaxation mode at the end of T1 period
,Neighbour cells,,"1, 2",Cell 2,
T1 end condition,Active cell,,"1, 2",Cell 2,Sufficient time to allow the UE to evaluate and enter the relaxed measurement mode
,Neighbour cells,,"1, 2",Cell 1,
Final condition,Active cell,,"1, 2",Cell 1,The UE evaluates and fulfils the exit criteria for relaxed measurements and reselects to cell 2 during T2 period
,Neighbour cells,,"1,2",Cell 2,
RF Channel Number,,,"1, 2",1,
Time offset between cells,,,"1, 2",3 s,Synchronous cells
Access Barring Information,,-,"1, 2",Not Sent,No additional delays in random access procedure.
SMTC configuration,,,"1, 2",SMTC pattern 1,
DRX cycle length,,s,"1, 2",0.64,The value shall be used for all cells in the test.
PRACH configuration index,,,"1, 2",190,The detailed configuration is specified in TS 38.211 clause 6.3.3.2
rangeToBestCell,,,"1, 2",Not configured,
T1,,s,"1, 2",100,
T2,,s,"1, 2",100,
