Parameter,Config,Unit,Test 1 (FDD),,Test 2 (TDD),
,,,1A,1B,2A,2B
SSB ARFCN,1~4,,freq1,,freq1,
Duplex mode,"1,3",,FDD,,N/A,
,"2,4",,N/A,,TDD,
TDD Configuration,"1,3",,N/A,,N/A,
,"2,4",,N/A,,TDDConf.1.1,
BWchannel,"1,3",MHz,"10: NPRB,c = 52",,N/A,
,"2,4",,N/A,,"40: NPRB,c = 106",
PDSCH Reference measurement channel,"1,3",,SR.1.1 FDD,,N/A,
,"2,4",,N/A,,SR.2.1 TDD,
RMSI CORESET Reference Channel,"1,3",,CR.1.1 FDD,,N/A,
,"2,4",,N/A,,CR.2.1 TDD,
Dedicated CORESET Reference Channel,"1,3",,CCR.1.1 FDD,,N/A,
,"2,4",,N/A,,CCR.2.1 TDD,
SSB configuration,"1,3",,SSB.3 FR1,,N/A,
,"2,4",,N/A,,SSB.4 FR1,
OCNG Patterns,1~4,,OP.1,,OP.1,
Initial BWP Configuration,1~4,,DLBWP.0.1ULBWP.0.1,,DLBWP.0.1ULBWP.0.1,
TRS configuration,"1,3",,TRS.1.5 FDD,,N/A,
,"2,4",,N/A,,TRS.1.5 TDD,
Dedicated BWP configuration,1~4,,DLBWP.1.1ULBWP.1.1,,DLBWP.1.1ULBWP.1.1,
SMTC configuration,1~4,,SMTC.1,,SMTC.1,
reportConfigType,1~4,,periodic,,periodic,
reportQuantity,1~4,,ssb-Index-RSRP,,ssb-Index-RSRP,
Number of reported RS,1~4,,2,,2,
L1-RSRP reporting period,1~4,,slot80,,slot80,
EPRE ratio of PSS to SSS,1~4,dB,0,,0,
EPRE ratio of PBCH DMRS to SSS,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,,,
Noc,dBm/15 kHz,1,-98,,-98,
,,2,,,,
Note 2,dBm/SCS,1,-98,,-98,
,,2,-95,,-95,
,1~4,dB,TBD,,TBD,
,1~4,dB,20,10,20,10
SSB_RP,"1,4",,-78,-88,-78,-88
Propagation condition,1~4,,TDL-A 30ns 10 Hz,TDL-A 30ns 300 Hz,TDL-A 30ns 10 Hz,TDL-A 30ns 300 Hz
Antenna configuration,1~4,,1x2,,1x2,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.,,,,,,
