Parameter,Unit,Test,Cell 2,,Cell 3,
,,configuration,T1,T2,T1,T2
AoA setup,,"Config 1,2",Setup 3 as specified in clause A.3.15,,,
,,,AoA1,,AoA2,
Assumption for UE beamsNote 7,,"Config 1,2",Rough,,Rough,
NR RF Channel Number,,"Config 1,2",1,,2,
Duplex mode,,"Config 1,2",TDD,,TDD,
BWchannel,MHz,"Config 1,2","100: NPRB,c = 66",,"100: NPRB,c = 66",
Data PRBs allocated,,"Config 1,2",66,,66,
BWP BW,MHz,"Config 1,2","100: NPRB,c = 66",,"100: NPRB,c = 66",
TDD configuration,,"Config 1,2",TDDConf.3.1,,TDDConf.3.1,
Initial DL BWP,,"Config 1,2",DLBWP.0.1,,NA,
Initial UL BWP,,"Config 1,2",DLBWP.0.1,,N/A,
Dedicated DL BWP,,"Config 1,2",DLBWP.1.1,,NA,
Dedicated UL BWP,,"Config 1,2",ULBWP.1.1,,NA,
OCNG Patterns defined in A.3.2.1.1,,"Config 1,2",OP.1,,OP.1,
PDSCH Reference measurement channel,,"Config 1,2",SR.3.1 TDD,,-,
RMSI CORESET Reference Channel,,"Config 1,2",CR.3.1 TDD,,-,
Dedicated CORESET Reference Channel,,"Config 1,2",CCR.3.1 TDD,,-,
TRS configuration,,"Config 1,2",TRS.2.1 TDD,,NA,
PDSCH/PDCCH TCI state,,"Config 1,2",TCI.State.2,,NA,
SMTC configuration defined in A.3.11,,"Config 1,2",SMTC.1,,SMTC.1,
PDSCH/PDCCH subcarrier spacing,kHz,"Config 1,2",120,,120,
EPRE ratio of PSS to SSS,,"Config 1,2",0,,0,
EPRE ratio of PBCH DMRS to SSS,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,
Ês,dBm/SCS,Config 1,-87,-87,-Infinity,-87
SSBRP Note 3,dBm/SCS Note5,"Config 1,2",-87,-87,-Infinity,-87
BB Note 8,dB,"Config 1,2",1.89,1.89,-Infinity,1.89
Io Note3,dBm/95.04 MHz Note5,"Config 1,2",-55.85,-55.85,-Infinity,-55.85
Propagation Condition,,"Config 1,2",No external noise (Note 9),,No external noise (Note 9),
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:VoidNOTE 3:SSBRP, Es/Iot and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:VoidNOTE 5:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zoneNOTE 6:As observed with 0 dBi gain antenna at the centre of the quiet zoneNOTE 7:Information about types of UE beam is given in B.2.1.3, and does not limit UE implementation or test system implementationNOTE 8:Calculation of Es/IotBB includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 38.101-2 [19], and an allowance of 1 dB for UE multi-band relaxation factor ΔMBS from TS 38.101-2 [19] Table 6.2.1.3-4.NOTE 9:The downlink connection between the System Simulator and the UE is without Additive White Gaussian Noise, and has no fading or multipath effects as specified in TS 38.521-2 B.0 [40]",,,,,,
