Parameter,Config,Unit,Test 1,
,,,CSI-RS#0,CSI-RS#1
Angle of arrival configuration,,,Setup 1 according to A.3.15.1,
Assumption for UE beamsNote 4,,,Rough,
,1~4,dBm/15 kHz,-100,
,1~4,dBm/CSI-RS SCS,-91,
,1~4,dB,10,0
CSI-RS RSRPNote1,1~4,dBm/SCS,-81,-91
IoNote1,1~4,dBm/95.04 MHz,-51.57,-58.97
,1~4,dB,10,0
"NOTE 1:RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 2:RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 3:Information about types of UE beam is given in B.2.1.3, and does not limit UE implementation or test system implementation",,,,
