Parameter,Unit,Value,,Comment
,,TRP#1,TRP#2,
RF channel number,,1,,
Initial DL BWP,,DLBWP.0.1,,As specified in Table A.3.9.2.1-1
Dedicated DL BWP,,DLBWP.1.1,,As specified in Table A.3.9.2.2-1
Initial UL BWP,,ULBWP.0.1,,As specified in Table A.3.9.3.1-1
Dedicated UL BWP,,ULBWP.1.1,,As specified in Table A.3.9.3.2-1
Timing Advance Command (TA) value during T1,,31,16,NTA_new = NTA_old  for the purpose of establishing a reference value from which the timing advance adjustment accuracy can be measured during T2
Timing Advance Command (TA) value during T2,,39,8,For 15 kHz SCS NTA_new = NTA_old  + 8192*Tc For 30 kHz SCS NTA_new = NTA_old  + 4096*Tc (based on equation in clause 4.2 of TS 38.213 [3])
T1,s,5,,
T2,s,5,,
