Parameter,Unit,Test Configuration,Test 1,,
,,,T1,T2,T3
Channel number for NR UL carrier,,"Conf 1, 2, 3, 4, 5, 6",1,,
Channel number for supplementary UL,,"Conf 1, 2, 3, 4, 5, 6",2,,
TDD configuration,,"Conf 1, 2",N/A,,
,,"Conf 3, 4",TDD Conf.1.1,,
,,"Conf 5, 6",TDD Conf.2.1,,
BWchannel,MHz,"Conf 1, 2, 3, 4","10: NRB,c = 52",,
,,"Conf 5, 6","40: NRB,c = 10",,
BWchannel for supplementary UL,MHz,"Conf 1, 3, 5","10: NRB,c = 52",,
,,"Conf 2, 4, 6","40: NRB,c = 106",,
PUSCH parameters for NR UL carrier,,"Conf 1, 2, 3, 4",G-FR1-A3-9 in [13],G-FR1-A3-9 in [13],G-FR1-A3-9 in [13]
,,"Conf 5, 6",G-FR1-A3-13 in [13],G-FR1-A3-13 in [13],G-FR1-A3-13 in [13]
PUCCH parametersFor NR UL carrier,,"Conf 1, 2, 3, 4",Table 8.3.3.1.2-1 in [13],Table 8.3.3.1.2-1 in [13],Table 8.3.3.1.2-1 in [13]
,,"Conf 5, 6",Table 8.3.3.1.2-2 in [13],Table 8.3.3.1.2-2 in [13],Table 8.3.3.1.2-2 in [13]
PUSCH parameters for supplementary UL,,"Conf 1, 3, 5",N/A,G-FR1-A3-9 in [13],N/A
,,"Conf 2, 4, 6",N/A,G-FR1-A3-13 in [13],N/A
PUCCH parameters for supplementary UL,,"Conf 1, 3, 5",N/A,N/A,N/A
,,"Conf 2, 4, 6",N/A,N/A,N/A
PDSCH reference measurement channel as defined in clause A.3.1.1,,"Conf 1, 2",SR.1.1 FDD,,
,,"Conf 3, 4",SR.1.1 TDD,,
,,"Conf 5, 6",SR 2.1 TDD,,
RMSI CORESET reference measurement channel as defined in clause A.3.1.2,,"Conf 1, 2",CR.1.1 FDD,,
,,"Conf 3, 4",CR.1.1 TDD,,
,,"Conf 5, 6",CR.2.1 TDD,,
RMC CORESET reference measurement channel as defined in clause A.3.1.3,,"Conf 1, 2",CCR.1.1 FDD,,
,,"Conf 3, 4",CCR.1.1 TDD,,
,,"Conf 5, 6",CCR.2.1 TDD,,
OCNG Pattern Note 1,,"Conf 1, 2, 3, 4, 5, 6",OP.1,,
SSB configuration,,"Conf 1, 2, 3, 4",SSB.1 FR1,,
,,"Conf 5, 6",SSB.2 FR1,,
SMTC configuration,,"Conf 1, 2, 3, 4, 5, 6",SMTC.1,,
CSI-RS for tracking,,"Conf 1, 2",TRS.1.1 FDD,,
,,"Conf 3, 4",TRS.1.1 TDD,,
,,"Conf 5, 6",TRS.1.2 TDD,,
DL initial BWP configuration,,"Conf 1, 2, 3, 4, 5, 6",DLBWP.0.1,,
DL dedicated BWP configuration,,"Conf 1, 2, 3, 4, 5, 6",DLBWP.1.1,,
UL dedicated BWP configuration,,"Conf 1, 2, 3, 4, 5, 6",ULBWP.1.1,,
EPRE ratio of PSS to SSS,dB,"Conf 1, 2, 3, 4, 5, 6",0,,
EPRE ratio of PBCH DMRS to SSS,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,
EPRE ratio of OCNG DMRS to SSS,,,,,
EPRE ratio of OCNG to OCNG DMRS,,,,,
Note 2,dBm / 15kHz,"Conf 1, 2, 3, 4",-102,,
,dBm/ SCS,"Conf 1,2,3,4",-102,,
,,"Conf 5, 6",-99,,
,dB,"Conf 1, 2, 3, 4, 5, 6",16,16,16
Note 3,dB,"Conf 1, 2, 3, 4, 5, 6",16,16,16
SS-RSRP Note 3,dBm/ SCS,"Conf 1,2,3,4",-86,-86,-86
,,"Conf 5, 6",-83,-83,-83
Io Note 3,dBm/ 9.36 MHz,"Conf 1,2,3,4",-57.9,-57.9,-57.9
,dBm/ 38.16 MHz,"Conf 5, 6",-51.8,-51.8,-51.8
Propagation Condition,,"Conf 1, 2, 3, 4, 5, 6",AWGN,,
Antenna configuration,,"Conf 1, 2, 3, 4, 5, 6",1 x 2,,
SUL RSRP threshold (rsrp-ThresholdSSB-SUL),dBm,"Conf 1,2,3,4",-75,,
,,"Conf 5, 6",-72,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated, and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled within BWoccupied.NOTE 3:, Io, and SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:Void.NOTE 5:Void.NOTE 6:NPRB,c. is derived from Table 5.3.2-1 in TS38.101-1[18] with configured BWchannel.",,,,,
