Parameter,Unit,Test configuration,,,Value,Comment
NR RF Channel Number,,Config 1,Config 2,Config 3,3,
E-UTRA RF Channel Number,,NA,Config 2,NA,NA,One E-UTRAN FDD carrier frequency is used.
Active cell,,Config 1,Config 2,Config 3,"NR cell 1 (PCell),NR cell 2(SCell), NR cell 3(SCell)",
Neighbour cell,,Config 1,Config 2,Config 3,NR cell 4,
SMTC-SSB parameters on NR RF Channels,,Config 1,Config 2,Config 3,SSB.1 FR1,As specified in clause A.3.10.2
offsetMO,dB,Config 1,Config 2,Config 3,16,
Hysteresis,dB,Config 1,Config 2,Config 3,0,
A3-Threshold,dBm,Config 1,Config 2,Config 3,-11,
CP length,,Config 1,Config 2,Config 3,Normal,
TimeToTrigger,s,Config 1,Config 2,Config 3,0,
Filter coefficient,,Config 1,Config 2,Config 3,0,L3 filtering is not used
DRX,,Config 1,Config 2,Config 3,OFF,DRX is not used
Time offset between serving and neighbour cells,,Config 1,Config 2,Config 3,3 s,Synchronous NR CASynchronous EN-DC
,,Config 1,Config 2,Config 3,3s,Synchronous cells
T1,s,Config 1,Config 2,Config 3,5,
T2,s,Config 1,Config 2,Config 3,5.2 for PC1; 3.5 for other PC,
