Parameter,Config,Unit,Test 1,Test 2
SSB ARFCN,1~2,,freq1,freq1
Duplex mode,1,,FDD,FDD
,2,,TDD,TDD
TDD Configuration,1,,N/A,N/A
,2,,TDDConf.1.1,TDDConf.1.1
BWchannel,1,MHz,"10: NPRB,c = 52","10: NPRB,c = 52"
,2,,"40: NPRB,c = 106","40: NPRB,c = 106"
PDSCH Reference measurement channel,1,,SR.1.1 FDD,SR.1.1 FDD
,2,,SR.2.1 TDD,SR.2.1 TDD
RMSI CORESET Reference Channel,1,,CR.1.1 FDD,CR.1.1 FDD
,2,,CR.2.1 TDD,CR.2.1 TDD
Dedicated CORESET Reference Channel,1,,CCR.1.1 FDD,CCR.1.1 FDD
,2,,CCR.2.1 TDD,CCR.2.1 TDD
SSB configuration,1,,SSB.3 FR1,SSB.3 FR1
,2,,SSB.4 FR1,SSB.4 FR1
OCNG Patterns,1~2,,OP.1,OP.1
Initial BWP Configuration,1~2,,DLBWP.0.1ULBWP.0.1,DLBWP.0.1ULBWP.0.1
TRS configuration,1,,TRS.1.5 FDD,TRS.1.5 FDD
,2,,TRS.1.5 TDD,TRS.1.5 TDD
Dedicated BWP configuration,1~2,,DLBWP.1.1ULBWP.1.1,DLBWP.1.1ULBWP.1.1
SMTC configuration,1~2,,SMTC.1,SMTC.1
reportConfigType,1~2,,periodic,periodic
reportQuantity,1~2,,ssb-Index-RSRP,ssb-Index-RSRP
Number of reported RS,1~2,,2,2
L1-RSRP reporting period,1~2,,slot80,slot80
EPRE ratio of PSS to SSS,1~2,dB,0,0
EPRE ratio of PBCH DMRS to SSS,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,
Noc,dBm/15 kHz,1,-98,-98
,,2,,
Note 2,dBm/SCS,1,-98,-98
,,2,-95,-95
,1~2,dB,TBD,TBD
,1~2,dB,10,20
SSB_RP,1,,-88,-78
Propagation condition,1~2,,TDL-A 30 ns 10 Hz,TDL-A 30 ns 300 Hz
Antenna configuration,1~2,,1x2,1x2
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.,,,,
