Parameter,Config,Unit,Value
SSB ARFCN,1,,freq1
Duplex mode,1,,TDD
TDD configuration,1,,TDDConf.2.4
BWchannel,1,MHz,"100: NPRB,c = 273"
SBFD configuration,1,,SBFD.2 FR1
PDSCH Reference measurement channel,1,,SR.2.1 TDD
RMSI CORESET Reference Channel,1,,CR.2.1 TDD
Dedicated CORESET Reference Channel,1,,CCR.2.1 TDD
SSB configuration,1,,SSB.24 FR1
OCNG Patterns Note6,1,,OP.1
TRS configuration,1,,TRS.1.2 TDD
Initial BWP Configuration,1,,DLBWP.0.1ULBWP.0.1
Dedicated BWP configuration,1,,DLBWP.1.1ULBWP.1.1
SMTC configuration,1,,SMTC.1
Time offset between DL from serving cell and OCNG from test system,1,s,0
EPRE ratio of PSS to SSS,1,dB,0
EPRE ratio of PBCH DMRS to SSS,,,
EPRE ratio of PBCH to PBCH DMRS,,,
EPRE ratio of PDCCH DMRS to SSS,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,
EPRE ratio of PDSCH DMRS to SSS,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,
"Note2,6",1,dBm/30 kHz,-103
on CLI-RSSI measurement resource,1,dB,-Infinity
RSRP on CLI-RSSI measurement resource Note3,1,dBm/30 kHz,-Infinity
Io on the whole channel BW Note3,1,dBm/98.28 MHz,-65.44
Io on CLI-RSSI measurement resource Note3,1,dBm/17.28 MHz,-75.40
Io on CLI-RSSI measurement resource Note3,1,dBm/1.08 MHz,-87.44
on CLI-RSSI measurement resource,1,dB,-Infinity
Propagation condition,1,,AWGN
Antenna configuration,1,,1x2
T1,1,ms,200
T2,1,ms,100
NOTE 1:OCNG shall be used such that a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:The test configuration excludes support for band n51 and it is not required to run this test on band n51 in this release of the specificationNOTE 6:In this test Noc is transmitted in PRBs in UL subband in addition to PRBs in DL subbands.,,,
