ParameterNote 5,Unit,Cell 1,Cell 2,
,,T1 - T5,T1,T2 - T5
SSB ARFCN,,freq1,freq2,
Duplex mode,,TDD,,
TDD configuration,,TDDConf.3.1,,
Downlink initial BWP Configuration,,DLBWP.0.1,,
Downlink dedicated BWP Configuration,,DLBWP.1.1,,
Uplink initial BWP configuration,,ULBWP.0.1,,
Uplink dedicated BWP configuration,,ULBWP.1.1,,
TRS configuration,,TRS.2.1 TDD,,
TCI state,,TCI.State.0,,
BWchannel,MHz,"100: NPRB,c = 66","100: NPRB,c = 66",
PDSCH Reference measurement channel,,SR.3.1 TDD,-,
RMSI CORESET Parameters,,CR.3.1 TDD,-,
Dedicated CORESET Parameters,,CCR.3.1 TDD,-,
CSI-RS configuration,,NA,NA,CSI-RS.3.1 TDD Note 2
CSI reporting periodicity Note 3,,NA,NA,5
OCNG Patterns,,OP.1,,
SSB Configuration,,SSB.1 FR2,,
SMTC Configuration,,SMTC.1,,
EPRE ratio of PSS to SSS,dB,0,,
EPRE ratio of PBCH_DMRS to SSS,,,,
EPRE ratio of PBCH to PBCH_DMRS,,,,
EPRE ratio of PDCCH_DMRS to SSS,,,,
EPRE ratio of PDCCH to PDCCH_DMRS,,,,
EPRE ratio of PDSCH_DMRS to SSS,,,,
EPRE ratio of PDSCH to PDSCH_DMRS,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,
Propagation conditions,,AWGN,,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:CSI-RS for CSI measurement is (re)configured in the next DL slot after slot m+TL1-RSRP during T2.NOTE 3:L1-RSRP measurement and reporting are configured to the UE prior to the start of time period T1.,,,,
