Parameter,Unit,Test configuration,"Cell 1, Cell 2",,Cell 3,
,,,T1,T2,T1,T2
TDD configuration,,1,TDDConf.3.1,,TDDConf.3.1,
PDSCH RMC configuration,,1,SR.3.1 TDD,,SR.3.1 TDD,
RMSI CORESET RMC configuration,,1,CR.3.1 TDD,,CR.3.1 TDD,
"Dedicated CORESET RMC configuration, Test 1,2",,1,CCR.3.1 TDD,,CCR.3.1 TDD,
"Dedicated CORESET RMC configuration, Test 3,4",,,CCR.3.2 TDD,,CCR.3.1 TDD,
OCNG Patterns,,1,OP.1,,OP.1,
TRS configuration,,1,TRS.2.1 TDD,,N/A,
Downlink initial BWP configuration,,1,DLBWP.0.1,,N/A,
Uplink initial BWP configuration,,1,ULBWP.0.1,N/A,N/A,
Downlink active non-dormant BWP configuration,,1,N/A,DLBWP.1.2,N/A,
Downlink active dormant BWP configuration,,1,DLBWP.1.2,,N/A,
Active UL BWP configuration,,1,ULBWP.1.1,N/A,N/A,
RLM-RS,,1,CSI-RS,,N/A,
EPRE ratio of PSS to SSS,dB,,0,,,
EPRE ratio of PBCH DMRS to SSS,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,
EPRE ratio of OCNG DMRS to SSSNote 4,,,,,,
EPRE ratio of OCNG to OCNG DMRSNote 4,,,,,,
Note 2,dBm/SCS,1,-98,,,
Note 2,dBm/15 kHz,1,-98,,,
,dB,1,4,-1.46,-Infinity,-1.46
,dB,1,4,4,-Infinity,4
SS-RSRP Note 3,dBm/SCS kHz,1,-94,-94,-Infinity,-94
Io,dBm/9.36 MHz,1,-64.60,-62.25,--64.60,-62.25
Propagation Condition,,1,AWGN,,,
NOTE 1:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:OCNG shall be used such that the cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols,,,,,,
