Parameter,Unit,Config,Test,,,
,,,T1,T2,T3,T4
NR Channel Number,,"1,2,3","2 for cell 2, 3 for cell 3",,,
Duplex Mode,,"1,2,3",TDD,,,
TDD configuration,,"1,2,3",TDDConf.3.1,,,
BWchannel,MHz,"1,2,3","100: NPRB,c = 66",,,
Data PRBs allocated,,"1,2,3",48,,,
Initial BWP Configuration,,"1,2,3",DLBWP.0.1ULBWP.0.1,,,
Dedicated BWP Configuration,,"1,2,3",DLBWP.1.1ULBWP.1.1,,,
TRS Configuration,,"1,2,3",TRS.2.1 TDD,,,
PDSCH/PDCCH TCI state,,"1,2,3",TCI.State.2,,,
PDSCH Reference measurement channel,,"1,2,3",SR.3.3 TDD,,,
RMSI CORESET Reference Channel,,"1,2,3",CR.3.2 TDD,,,
Dedicated CORESET Reference Channel,,"1,2,3",CCR.3.7 TDD,,,
OCNG Patterns,,"1,2,3",OP.3,,,
SSB configuration,,"1,2,3",SSB.4 FR2,,,
SMTC configuration,,"1,2,3",SMTC.2,,,
PDSCH/PDCCH subcarrier spacing,kHz,"1,2,3",120,,,
TRS Configuration,,"1,2,3",TRS.2.1 TDD,,,
CSI-RS configuration for CSI reporting,,"1,2,3",CSI-RS.3.1 TDD,,,
reportConfigType,,"1,2,3",periodic,,,
reportQuantity,,"1,2,3",cri-RI-PMI-CQI,,,
CSI reporting periodicity,slot,"1,2,3",40,,,
CSI reporting offset,slot,"1,2,3",4,,,
EPRE ratio of PSS to SSS,dB,"1,2,3",0,,,
EPRE ratio of PBCH DMRS to SSS,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,
Propagation condition,,"1,2,3",AWGN,,,
