Config,Description of serving cell,Description of target cell
1,"NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex mode","120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
2,"NR 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex mode",
3,"NR 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode",
4,"NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex mode","480 kHz SSB SCS, 400 MHz bandwidth, TDD duplex mode"
5,"NR 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex mode",
6,"NR 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode",
7,"NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex mode","960 kHz SSB SCS, 400 MHz bandwidth, TDD duplex mode"
8,"NR 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex mode",
9,"NR 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode",
NOTE:The UE is only required to be tested in one of the supported test configurations,,
