Parameter,Unit,Test configuration,Value,,,,Comment
,,,Test 1,Test 2,Test 3,Test 4,
NR RF Channel Number,,"Config 1,2,3,4,5,6,7,8,9","1, 2",,,,One NR FR1 and one NR FR2 carrier frequency is used.
Active cell,,"Config 1,2,3,4,5,6,7,8,9",NR cell 1 (PCell),,,,NR Cell 1 is on NR RF channel number 1.
Neighbour cell,,"Config 1,2,3,4,5,6,7,8,9",NR cell 2,,,,NR cell 2 is on NR RF channel number 2.
Gap Pattern Id,,"Config 1,2,3,4,5,6,7,8,9",0,,Gap not configured,,As specified in clause 9.1.2-1.
Measurement gap offset,,"Config 1,2,3,4,5,6,7,8,9",39,,N/A,,
SMTC-SSB parameters on NR RF Channel 1,,"Config 1,4,7",SSB.1 FR1,,,,As specified in clause A.3.10.1
,,"Config 2,5,8",SSB.1 FR1,,,,
,,"Config 3,6,9",SSB.2 FR1,,,,
CSI-RS for tracking parameters on NR RF Channel 1,,"Config 1,4,7",TRS.1.1 FDD,,,,
,,"Config 2,5,8",TRS.1.1 TDD,,,,
,,"Config 3,6,9",TRS.1.2 TDD,,,,
SMTC-SSB parameters on NR RF Channel 2,,"Config 1,2,3",SSB.3 FR2,,,,As specified in clause A.3.10.2
,,"Config 4,5,6",SSB.11 FR2,,,,
,,"Config 7,8,9",SSB.12 FR2,,,,
offsetMO,dB,"Config 1,2,3,4,5,6,7,8,9",6,,,,
Hysteresis,dB,"Config 1,2,3,4,5,6,7,8,9",0,,,,
a4-Threshold,dBm,"Config 1,2,3,4,5,6,7,8,9",-105,,,,
CP length,,"Config 1,2,3,4,5,6,7,7,8,9",Normal,,,,
TimeToTrigger,s,"Config 1,2,3,4,5,6,7,8,9",0,,,,
Filter coefficient,,"Config 1,2,3,4,5,6,7,8,9",0,,,,L3 filtering is not used
DRX,,"Config 1,2,3,4,5,6,7,8,9",DRX.1,DRX.7,DRX.1,DRX.7,As specified in clause A.3.3
Time offset between serving and neighbour cells,,"Config 1,4,7",3 ms,,,,Asynchronous cells.The timing of Cell 2 is 3 ms later than the timing of Cell 1.
,,"Config 2,3,5,6,8,9",3s,,,,Synchronous cells.
T1,s,"Config 1,2,3,4,5,6,7,8,9",5,,,,
T2,s,"Config 1,2,3,4,5,6,7,8,9",8 for PC1;5 for other PC,82 for PC1; 52 for other PC,8 for PC1;5 for other PC,82 for PC1; 52 for other PC,
