Parameter,Unit,Test configuration,Cell 1,,Neighbour cell UE,
,,,T1,T2,T1,T2
AoA setup,,1,Setup 1 defined in A.3.15.1,,,
Beam assumption Note 4,,1,Fine,,,
Note 2,dBm/15 kHz,1,-98,,-98,
Note 2,dBm/SCS,1,-89,,-89,
,dB,1,-,-,-infinity,4
,dB,1,4,4,-infinity,4
SRS-RSRP Note 3,dBm/SCS kHz,1,-,-,-infinity,-94
Io,dBm/95.04 MHz,1,-61.36,-55.91,-70.01,-68.82
"NOTE 1:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SRS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementation.Note 5 :Cell 2 doesn’t transmit during the SRS and the 2 previous symbols. Es/NoC is not applied to those symbols.",,,,,,
