Parameter,,Unit,Test configuration,Cell 1,,,Cell 2,,
,,,,Sub-test 1,Sub-test 2,Sub-test 1,,Sub-test 2,
AoA setup,,,Config 1,Setup 1 as specified in clause A.3.15,,,,,
Beam AssumptionNote 7,,,Config 1,Rough,,,Rough,,
TDD configuration,,,Config 1,TDDConf.3.1,,,TDDConf.3.1,,
Duplex mode,,,Config 1,TDD,,,TDD,,
BWchannel,,MHz,Config 1,"200: NPRB,c = 132",,,"200: NPRB,c = 132",,
BWP BW,,MHz,Config 1,"200: NPRB,c = 132",,,"200: NPRB,c = 132",,
BWP configuration,Initial DL BWP,,Config 1,DLBWP.0.1,,,N/A,,
,Initial UL BWP,,,ULBWP.0.1,,,N/A,,
,Dedicated DL BWP,,,DLBWP.1.1,,,N/A,,
,Dedicated UL BWP,,,ULBWP.1.1,,,N/A,,
OCNG Patterns defined in A.3.2.1.1 (OP.1),,,Config 1,OP.1,,,OP.1,,
PDSCH Reference measurement channel,,,Config 1,SR.3.1 TDD,,,-,,
CORESET Reference Channel,,,Config 1,CR.3.1 TDD,,,-,,
Dedicated CORESET RMC configuration,,,Config 1,CCR.3.1 TDD,,,-,,
TRS configuration,,,Config 1,TRS.2.1 TDD,,,-,,
PDSCH/PDCCH subcarrier spacing,,kHz,Config 1,120,,,120,,
PRS configuration,,,Config 1,PRS.1.4 FR2,,,PRS.1.4 FR2,,
PRS muting configuration,,,Config 1,‘10’,,,‘01’,,
EPRE ratio of PSS to SSS,,,,,,,,,
EPRE ratio of PBCH DMRS to SSS,,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,Config 1,0,,,0,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,,,
Note2,,dBm/15 kHz Note 5,,-98,,,-98,,
Note2,,dBm/SCS Note 4,Config 1,-89,,,-89,,
SS-RSRP Note 3,,dBm/SCS Note 5,Config 1,-89,-89,-89,,-89,
PRS-RSRP Note 3,,dBm/SCS Note 5,Config 1,-86.77,-91,-90.73,,-99,
PRS,,dB,Config 1,0,-2.41,-6,,-12.12,
PRS,,dB,Config 1,2.23,-2,-1.73,,-10,
IoNote3,,dBm/190.08 MHz Note 5,Config 1,-51.76,-54.62,-51.76,,-54.62,
Propagation Condition,,,Config 1,AWGN,,,,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP/PRS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:PRS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zoneNOTE 6:As observed with 0 dBi gain antenna at the centre of the quiet zoneNOTE 7:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementationNOTE 8:Calculation of Es/Iot includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 38.101-2 [19], and an allowance of 1 dB for UE multi-band relaxation factor ΔMBP from TS 38.101-2 [19] Table 6.2.1.3-4.",,,,,,,,,
