Parameter,Unit,Cell 1,,,Cell 2,,
,,T1,T2,T3,T1,T2,T3
AoA setup,,Setup 3 defined in A.3.15.3,,,,,
,,AoA1,,,AoA2,,
Beam assumptionNote 3,,Rough,,,Rough,,
Es,dBm/SCS,-89,-89,-89,-infinity,-Infinity,-89
BB Note 4,dB,-0.12,-0.12,-0.12,-Infinity,-Infinity,-0.12
SSB_RP,dBm/SCS,-89,-89,-89,-infinity,-Infinity,-89
,dBm/95.04 MHz,-64.41,-64.41,-64.41,-Infinity,-Infinity,-64.41
Time multiplexing of the downlink transmissions from each AoA,,Defined in figure A.7.6.1.1.1-1,,,,,
"NOTE 1:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 2:Es/Iot, SSB_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 3:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementationNOTE 4:Calculation of Es/IotBB includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 38.101-2 [19], and an allowance of 1 dB for UE multi-band relaxation factor ΔMBP from TS 38.101-2 [19] Table 6.2.1.3-4.",,,,,,,
