ParameterNote 5,Unit,Cell 1,Cell 2,Cell 3
SSB ARFCN,,freq1,freq2,freq2
Duplex mode,,TDD,,
TDD configuration,,TDDConf.3.1,,
Downlink initial BWP Configuration,,DLBWP.0.1,DLBWP.0.1,DLBWP.0.1
Downlink dedicated BWP Configuration,,DLBWP.1.1,DLBWP.1.1,DLBWP.1.1
Uplink initial BWP configuration,,ULBWP.0.1,ULBWP.0.1,ULBWP.0.1
Uplink dedicated BWP configuration,,ULBWP.1.1,ULBWP.1.1,ULBWP.1.1
TRS configuration,,TRS.2.1 TDD,TRS.2.1 TDD,N/A
TCI state,,TCI.State.0,TCI.State.0,N/A
BWchannel,MHz,"100: NPRB,c = 66",,
Data PRBs allocated,,24,24,24
PDSCH Reference measurement channel,,SR.3.2 TDD,SR.3.2 TDD,N/A
RMSI CORESET Parameters,,CR.3.1 TDD,-,N/A
Dedicated CORESET Parameters,,CCR.3.1 TDD,CCR.3.1 TDD,N/A
OCNG Patterns,,OP.1,OP.5,N/A
SSB Configuration,,SSB.1 FR2,SSB.3 FR2,SSB.7 FR2
SMTC Configuration,,SMTC.1,SMTC.1,
cellIndividualOffset,,N/A,N/A,16
EPRE ratio of PSS to SSS,dB,0,,
EPRE ratio of PBCH_DMRS to SSS,,,,
EPRE ratio of PBCH to PBCH_DMRS,,,,
EPRE ratio of PDCCH_DMRS to SSS,,,,
EPRE ratio of PDCCH to PDCCH_DMRS,,,,
EPRE ratio of PDSCH_DMRS to SSS,,,,
EPRE ratio of PDSCH to PDSCH_DMRS,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,
Propagation conditions,,No external noise (Note 2),,
"NOTE 1:OCNG shall be used such that both cells are fully allocated, and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:The downlink connection between the System Simulator and the UE is without Additive White Gaussian Noise, and has no fading or multipath effects as specified in TS 38.521-2 B.0 [40].",,,,
