Parameter,Unit,Config,Value,Comment
Active cell,,1,PCell (Cell 1),NR Cell 1 is on NR RF channel number 1.
Neighbour cell,,1,Cell 2,NR cell 2 is on NR RF channel number 2.
RF Channel Number,,1,"1, 2",Two FR2 NR carrier frequencies are used.
SMTC configuration,,1,SMTC.1,
A3-Offset,dB,1,-6,
CP length,,1,Normal,
Hysteresis,dB,1,0,
Time To Trigger,s,1,0,
Filter coefficient,,1,0,L3 filtering is not used
DRX,,1,OFF,
Time offset between Cell 1 and Cell 2,,1,3 s,Synchronous cells
T1,s,1,5,
T2,s,1,5,
