Parameter,Config,Unit,Cell 1,,Cell 2,,
,,,T1,T2,T1,T2,
Angle of arrival configuration,1~2,,Setup 1 according to A.3.15.1,,,,
Beam AssumptionNote 3,1~2,,Rough,,Rough,,
Es,1,dBm/SSB SCS,-103,-85,-103,-85,
,2,,-100,-82,-100,-82,
BBNote 4,1~2,dB,-1.5,16.5,-1.5,16.5,
SSB_RP Note2,1,dBm/SSB SCS,-103,-85,-103,-85,
,2,,-100,-82,-100,-82,
Io Note2,1,dBm/95.04 MHz,-74,-56,-74,-56,
,2,,-74,-56,-74,-56,
"NOTE 1:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 2:Es/Iot, SSB_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 3:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementationNOTE 4:Calculation of Es/IotBB includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 38.101-2 [19], and an allowance of 1 dB for UE multi-band relaxation factor ΔMBP from TS 38.101-2 [19] Table 6.2.1.3-4.",,,,,,,
