Parameter,Unit,Test 1,,Test 2,
,,Cell 1,Cell 2,Cell 1,Cell 2
Angle of arrival configuration,,Setup 4b according to clause A.3.15.4.2,,Setup 4b according to clause A.3.15.4.2,
,,AoA1 Spherical coverage,AoA2 Rx Beam Peak,AoA1 Spherical coverage,AoA2 Rx Beam Peak
Note1,dBm/15 kHzNote4,-90.6,-90.6,(Table B.2.3.2-2 Rx Beam Peak +1.97 dB),(Table B.2.3.2-2 Rx Beam Peak -3.03 dB)
Assumption for UE beamsNote 7,,Rough,,Rough,
Note1,dBm/SCSNote4,-81.6,-81.6,(Table B.2.3.2-2 Rx Beam Peak +11.0 dB),(Table B.2.3.2-2 Rx Beam Peak +6.0 dB)
for SSB,dB,6.0,6.0,17.0,-1.0
for CSI-RS,dB,6.0,6.0,17.0,-1.0
CSI-RS_RPNote2,dBm/SCS,-75.60,-75.60,(Table B.2.3.2-2 Rx Beam Peak +28.0 dB),(Table B.2.3.2-2 Rx Beam Peak +5.0 dB)
(CSI-RS_RPCell 1 – CSI-RS_RPCell 2),dB,0,,23.00,
BB Note6 for SSB,dB,5.29,5.96,8.86,-3.92
BB Note6 for CSI-RS,dB,5.29,5.96,8.86,-3.92
IoNote2,dBm/95.04 MHz Note4,-50.03,-50.03,(Table B.2.3.2-2 Rx Beam Peak +52.68 dB),(Table B.2.3.2-2 Rx Beam Peak +33.13 dB)
(Iofreq 1 – Io freq 2),dB,0,,19.55,
"NOTE 1:Where used, interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 2:CSI-RS_RP, Es/Iot, Io, (CSI-RS_RPCell 2 – CSI-RS_RPCell 1) and (Iofreq 2 – Io freq 1) levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 3:VoidNOTE 4:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zoneNOTE 5:VoidNOTE 6:Calculation of Es/IotBB includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 36.101-2 [19], and an allowance of 1 dB for UE multi-band relaxation factor ΔMBP or ΔMBS from TS 38.101-2 [19] Table 6.2.1.3-4.NOTE 7:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementation",,,,,
