Parameter,AoA,NR opt. bands,"Minimum SSB_RP Note 2, Note 3(dBm / SCSSSB)",,,,,,,SSB Ês/Iot(dB)
,,,SCSSSB = 120 kHz,,,,,,SCSSSB = 240 kHz,
,,,UE Power class,,,,,,UE Power class,
,,,1,2,3,4,5,7,"1, 2, 3, 4, 5",
Conditions,Rx Beam,n257,-108.3,-111.8,-110.1,-125.8 +Y4,-121.4 +Y5,-114.1 +Y7,(Value for SCSSSB =,≥-4
,Peak,n258,-108.3,-111.8,-110.1,-125.8 +Y4,-121.6 +Y5,-114.1 +Y7,120 kHz) +3 dB,
,,n261,-108.3,-111.8,-110.1,-125.8 +Y4,,-114.1 +Y7,,
,Sph. cov.,n257,-100.3,-100.8,-99.2,-116.8 +Z4,-113.4 +Z5,-103.2 +Z7,(Value for SCSSSB =,≥-4
,Note 1,n258,-100.3,-100.8,-99.2,-116.8 +Z4,-113.6 +Z5,-103.2 +Z7,120 kHz) +3 dB,
,,n261,-100.3,-100.8,-99.2,-116.8 +Z4,,-103.2 +Z7,,
"NOTE 1:Values based on EIS spherical coverage as defined in clause 7.3.4 of TS 38.101-2 [19]. Side condition applies for directions in which EIS spherical coverage requirement is met.NOTE 2:Values specified at the Reference point to give minimum SSB Ês/Iot, with no applied noise.NOTE 3:For UEs that support multiple FR2 bands, Rx Beam Peak values are increased by ∆MBP,n and Spherical coverage values are increased by ∆MBS,n, the UE multi-band relaxation factor in dB specified in clause 6.2.1 of TS 38.101-2 [19].",,,,,,,,,,
