TPMI index i,Intermediate precoder matrix W'
0 – 7,"12W2,i402×102×2W1,i mod 402×202×102×202×1"
8 – 15,"12W2,(i-8)402×102×202×102×2W1,i mod 402×202×1"
16 – 23,"12W2,(i-16)402×102×202×102×202×102×2W1,i mod 4"
24 – 31,"1202×202×1W2,(i-24)402×102×2W1,i mod 402×202×1"
32 – 39,"1202×202×1W2,(i-32)402×102×202×102×2W1,i mod 4"
40 – 47,"1202×202×102×202×1W2,(i-40)402×102×2W1,i mod 4"
48 – 111,"12W1,(i-48)1602×102×102×1W1,(i mod 16)402×102×102×1W1,i mod 402×102×102×1"
112 – 175,"12W1,(i-112)1602×102×102×1W1,(i mod 16)402×102×102×102×102×102×1W1,i mod 4"
176 – 239,"12W1,(i-176)1602×102×102×102×102×102×1W1,(i mod 16)402×102×102×1W1,i mod 4"
240 – 303,"1202×102×102×1W1,(i-240)1602×102×102×1W1,(i mod 16)402×102×102×1W1,i mod 4"
304,122100100100100010010001001
