CSI report number,CSI fields
CSI report #n,Resource set indicator
,"CRI or SSBRI #1 of 1st resource group as in Table 6.3.1.1.2-6, if reported"
,"CRI or SSBRI #2 of 1st resource group as in Table 6.3.1.1.2-6, if reported"
,"CRI or SSBRI #1 of 2nd resource group as in Table 6.3.1.1.2-6, if reported"
,"CRI or SSBRI #2 of 2nd resource group as in Table 6.3.1.1.2-6, if reported"
,"CRI or SSBRI #1 of 3rd resource group as in Table 6.3.1.1.2-6, if reported"
,"CRI or SSBRI #2 of 3rd resource group as in Table 6.3.1.1.2-6, if reported"
,"CRI or SSBRI #1 of 4th resource group as in Table 6.3.1.1.2-6, if reported"
,"CRI or SSBRI #2 of 4th resource group as in Table 6.3.1.1.2-6, if reported"
,RSRP of CRI or SSBRI #1 of 1st resource group as in Table 6.3.1.1.2-6
,Differential RSRP of CRI or SSBRI #2 of 1st resource group as in Table 6.3.1.1.2-6
,"Differential RSRP of CRI or SSBRI #1 of 2nd resource group as in Table 6.3.1.1.2-6, if reported"
,"Differential RSRP of CRI or SSBRI #2 of 2nd resource group as in Table 6.3.1.1.2-6, if reported"
,"Differential RSRP of CRI or SSBRI #1 of 3rd resource group as in Table 6.3.1.1.2-6, if reported"
,"Differential RSRP of CRI or SSBRI #2 of 3rd resource group as in Table 6.3.1.1.2-6, if reported"
,"Differential RSRP of CRI or SSBRI #1 of 4th resource group as in Table 6.3.1.1.2-6, if reported"
,"Differential RSRP of CRI or SSBRI #2 of 4th resource group as in Table 6.3.1.1.2-6, if reported"
