PUCCH duration (symbols),PUCCH DMRS symbol indices,Number of UCI symbol indices sets,1st UCI symbol indices set,2nd UCI symbol indices set,3rd UCI symbol indices set
4,{1},2,"{0,2}",{3},-
4,"{0,2}",1,"{1,3}",-,-
5,"{0, 3}",1,"{1, 2, 4}",-,-
6,"{1, 4}",1,"{0, 2, 3, 5}",-,-
7,"{1, 4}",2,"{0, 2, 3, 5}",{6},-
8,"{1, 5}",2,"{0, 2, 4, 6}","{3, 7}",-
9,"{1, 6}",2,"{0, 2, 5, 7}","{3, 4, 8}",-
10,"{2, 7}",2,"{1, 3, 6, 8}","{0, 4, 5, 9}",-
10,"{1, 3, 6, 8}",1,"{0,2,4,5,7,9}",-,-
11,"{2, 7}",3,"{1,3,6,8}","{0,4,5,9}",{10}
11,"{1,3,6,9}",1,"{0,2,4,5,7,8,10}",-,-
12,"{2, 8}",3,"{1,3,7,9}","{0,4,6,10}","{5, 11}"
12,"{1,4,7,10}",1,"{0,2,3,5,6,8,9,11}",-,-
13,"{2, 9}",3,"{1,3,8,10}","{0,4,7,11}","{5,6,12}"
13,"{1,4,7,11}",2,"{0,2,3,5,6,8,10,12}",{9},-
14,"{3, 10}",3,"{2,4,9,11}","{1,5,8,12}","{0,6,7,13}"
14,"{1,5,8,12}",2,"{0,2,4,6,7,9,11,13}","{3, 10}",-
