Field,Bitwidth,,,
,2 antenna ports,4 antenna ports,>4 antenna ports,
,,,Rank1~4,Rank5~8
Rank Indicator,"min1,log2nRI","min2,log2nRI",log2nRI,log2nRI
Layer Indicator,log2υ,"min2,log2υ","min2,log2υ","min2,log2υ"
Wide-band CQI for the first TB,4,4,4,4
Wideband CQI for the second TB,0,0,0,4
Subband differential CQI for the first TB,2,2,2,2
Subband differential CQI for the second TB,0,0,0,2
CRI,log2KSCSI-RS-MR,log2KSCSI-RS-MR,log2KSCSI-RS-MR,log2KSCSI-RS-MR
"NOTE: is the number of allowed rank indicator values according to Clause 5.2.2.2.1 [6, TS 38.214].  is the value of the rank. The value of  is the number of CSI-RS resources in the corresponding resource set,  is the number of CSI-RS resources that are configured to report their corresponding CSI (except CRI), and is set to 0 if higher layer parameter mrSelectedResources is not configured for the CSI report. The values of the rank indicator field are mapped to allowed rank indicator values with increasing order, where '0' is mapped to the smallest allowed rank indicator value.nRIυKSCSI-RSMR",,,,
