Value,Number of DMRS CDM group(s) without data,DMRS port(s),Number of front-load symbols
0,1,"0,1",1
1,2,"0,1",1
2,2,"2,3",1
3,2,"0,2",1
4,2,"0,1",2
5,2,"2,3",2
6,2,"4,5",2
7,2,"6,7",2
8,2,"0,4",2
9,2,"2,6",2
10,1,"8,9",1
11,2,"8,9",1
12,2,"10,11",1
13,2,"8,9",2
14,2,"10,11",2
15,2,"12,13",2
16,2,"14,15",2
17,2,"9,11",1
18,2,"1,3",1
19,2,"0,2",2
20,2,"1,3",2
21,2,"4,6",2
22,2,"5,7",2
23,2,"8,10",2
24,2,"9,11",2
25,2,"12,14",2
26,2,"13,15",2
27,1,"0,1",2
28,1,"8,9",2
29,1,"4,5",2
30,1,"12,13",2
31,Reserved,Reserved,Reserved
