Index,O,Number of search space sets per slot,M,First symbol index
0,0,1,1,0
1,0,2,1/2,"{0, if  is even}, {7, if  is odd}ii"
2,2.5,1,1,0
3,2.5,2,1/2,"{0, if  is even}, {7, if  is odd}ii"
4,5,1,1,0
5,5,2,1/2,"{0, if  is even}, {7, if  is odd}ii"
6,0,2,1/2,"{0, if  is even}, {, if  is odd}iNsymbCORESETi"
7,2.5,2,1/2,"{0, if  is even}, {, if  is odd}iNsymbCORESETi"
8,5,2,1/2,"{0, if  is even}, {, if  is odd}iNsymbCORESETi"
9,7.5,1,1,0
10,7.5,2,1/2,"{0, if  is even}, {7, if  is odd}ii"
11,7.5,2,1/2,"{0, if  is even}, {, if  is odd}iNsymbCORESETi"
12,0,1,2,0
13,5,1,2,0
14,Reserved,,,
15,Reserved,,,
