Change history,,,,,,,
Date,Meeting,TDoc,CR,Rev,Cat,Subject/Comment,New version
06/2017,RAN2#98,R2-1704810,,,,First version,0.0.1
06/2017,RAN2#NR2,R2-1707386,,,,,0.0.2
08/2017,RAN2#99,R2-1708750,,,,,0.0.3
12/2017,RAN2#100,R2-1712587,,,,,0.0.4
12/2017,RAN2#100,R2-1714141,,,,,0.0.5
12/2017,RAN2#100,R2-1714271,,,,,0.1.0
12/2017,RP-78,RP-172521,,,,Submitted to RAN#78 for approval,1.0.0
12/2017,RP-78,,,,,Upgraded to Rel-15,15.0.0
03/2018,RP-79,RP-180440,0003,3,F,Updates on UE capabilities,15.1.0
06/2018,RP-80,RP-181216,0009,2,B,Introduce ANR in NR,15.2.0
,RP-80,RP-181216,0012,1,F,Miscellaneous corrections,15.2.0
,RP-80,RP-181216,0013,-,B,Delay budget report and MAC CE adaptation for NR for TS 38.306,15.2.0
09/2018,RP-81,RP-181940,0008,4,F,Correction on total layer2 buffer size,15.3.0
,RP-81,RP-181942,0024,1,F,Introduction of UE capability constraints,15.3.0
,RP-81,RP-181942,0030,-,F,38.306 corrections and cleanup,15.3.0
12/2018,RP-82,RP-182651,0016,4,F,Clarification for Interruption-based and gap-based SFTD measurement,15.4.0
,RP-82,RP-182653,0033,1,F,Timer based BWP switching,15.4.0
,RP-82,RP-182652,0035,2,F,Additional UE capabilities for NR standalone,15.4.0
,RP-82,RP-182651,0037,1,F,Clarification to UE capability of independentGapConfig for inter-RAT NR measurement not yet configured with EN-DC,15.4.0
,RP-82,RP-182661,0038,2,F,Update of L2 capability parameters,15.4.0
,RP-82,RP-182660,0047,2,F,Clarification on physical layer parameters of UE capability,15.4.0
,RP-82,RP-182666,0050,3,F,Introduce RRC buffer size in NR,15.4.0
,RP-82,RP-182664,0051,2,F,Clarification of multipleConfiguredGrants,15.4.0
,RP-82,RP-182664,0052,2,F,CR to 38.306 for PDCP CA duplication for SRB,15.4.0
,RP-82,RP-182661,0054,1,F,UE capability handling for FDD/TDD and FR1/FR2,15.4.0
,RP-82,RP-182663,0057,1,F,Clarify for per CC UL/DL modulation order capabilities,15.4.0
,RP-82,RP-182664,0058,1,F,Inter-frequency handover capability,15.4.0
,RP-82,RP-182665,0060,3,F,UE capability on PA architecture,15.4.0
,RP-82,RP-182661,0062,1,F,CR on signaling contiguous and non-contiguous EN-DC capability,15.4.0
,RP-82,RP-182813,0063,6,F,Update of UE capabilities,15.4.0
,RP-82,RP-182662,0065,2,F,Introduction of SRS switching capability,15.4.0
,RP-82,RP-182667,0068,2,B,CR on introduction of UE overheating support in NR SA scenario,15.4.0
,RP-82,RP-182664,0071,-,F,Introduction of SRS switching capability,15.4.0
03/2019,RP-83,RP-190634,0073,1,F,Capability for aperiodic CSI-RS triggering with different numerology between PDCCH and CSI-RS,15.5.0
,RP-83,RP-190542,0074,1,F,Layer-1 capability update,15.5.0
,RP-83,RP-190545,0075,2,F,CR to 38.306 on introducing nr-CGI-Reporting-ENDC,15.5.0
,RP-83,RP-190545,0086,2,F,CR to clarify intra-NR handover capabilities,15.5.0
,RP-83,RP-190546,0088,3,F,Clarification for PDSCHs and PUSCHs per slot for different TBs for UE capable of processing time capability 1,15.5.0
,RP-83,RP-190542,0092,2,F,Correction to mandatory supported capability signaling,15.5.0
,RP-83,RP-190542,0097,2,F,Miscellaneous corrections,15.5.0
,RP-83,RP-190545,0098,2,F,Correction on supportedBandwidthCombinationSetEUTRA-v1530 usage,15.5.0
,RP-83,RP-190543,0099,-,F,Clarification on signaling the bandwidth class,15.5.0
,RP-83,RP-190545,0100,1,F,Clarification on Frequency Separation Class,15.5.0
,RP-83,RP-190544,0101,-,F,CR on Processing delay requirements for RRC Resume procedures in TS 38.306,15.5.0
06/2019,RP-84,RP-191375,0094,1,F,CR to clarify ul-TimingAlignmentEUTRA-NR,15.6.0
,RP-84,RP-191373,0108,-,F,"Layer-1, RF and RRM capability updates",15.6.0
,RP-84,RP-191373,0109,-,F,Clarification on UE capability of lch-ToSCellRestriction,15.6.0
,RP-84,RP-191379,0110,2,F,Correction on description of additionalActiveSpatialRelationPUCCH,15.6.0
,RP-84,RP-191378,0111,1,F,Clarification on csi-RS-CFRA-ForHO,15.6.0
,RP-84,RP-191379,0114,2,F,CR on capability of maxUplinkDutyCycle for FR2,15.6.0
,RP-84,RP-191380,0115,2,F,38.306 miscellaneous corrections,15.6.0
,RP-84,RP-191378,0116,1,B,38.306 CR for late drop,15.6.0
,RP-84,RP-191381,0118,4,F,Clarification on supported modulation order capability,15.6.0
,RP-84,RP-191374,0119,-,F,Correction to PDCP parameters,15.6.0
,RP-84,RP-191381,0121,3,F,Corrections to UE Capability definitions,15.6.0
,RP-84,RP-191378,0122,1,F,38.306 Clarification on multiple TA capabilities,15.6.0
,RP-84,RP-191379,0123,2,F,CR to clarify non-codebook based PUSCH transmission,15.6.0
,RP-84,RP-191380,0124,3,F,Clarification on pdsch-ProcessingType2,15.6.0
,RP-84,RP-191378,0125,1,F,Clarification on present of tci-StatePDSCH,15.6.0
,RP-84,RP-191378,0126,1,F,Clarification on SA fallback BC support,15.6.0
